1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
3.2.4,3.2.4,1
3.3.5,3.3.5,1
4.1.6,4.1.6,1
5.1.7,5.1.7,1
6.1.8,6.1.8,1
7.1.9,7.1.9,1
7.2.10,7.2.10,1
7.3.11,7.3.11,1
8.1.12,8.1.12,1
9.1.13,9.1.13,1
10.1.14,10.1.14,1
10.2.15,10.2.15,1
10.3.16,10.3.16,1
11.1.17,11.1.17,1
12.1.18,12.1.18,1
12.2.19,12.2.19,1
12.3.20,12.3.20,1
12.4.21,12.4.21,1
12.5.22,12.5.22,1
12.6.23,12.6.23,1
13.1.24,13.1.24,1
14.1.25,14.1.25,1
15.1.26,15.1.26,1
16.1.27,16.1.27,1
17.1.28,17.1.28,1
18.1.29,18.1.29,1
19.1.30,19.1.30,1
19.2.31,19.2.31,1
19.3.32,19.3.32,1
19.4.33,19.4.33,1
19.5.34,19.5.34,1
19.6.35,19.6.35,1
19.7.36,19.7.36,1
19.8.37,19.8.37,1
19.9.38,19.9.38,1
20.1.39,20.1.39,1
21.1.40,21.1.40,1
22.1.41,22.1.41,1
22.2.42,22.2.42,1
22.3.43,22.3.43,1
23.1.44,23.1.44,1
24.1.45,24.1.45,1
24.2.46,24.2.46,1
24.3.47,24.3.47,1
24.4.48,24.4.48,1
24.5.49,24.5.49,1
25.1.50,25.1.50,1
26.1.51,26.1.51,1
27.1.52,27.1.52,1
28.1.53,28.1.53,1
28.2.54,28.2.54,1
28.3.55,28.3.55,1
28.4.56,28.4.56,1
28.5.57,28.5.57,1
28.6.58,28.6.58,1
28.7.59,28.7.59,1
28.8.60,28.8.60,1
28.9.61,28.9.61,1
28.10.62,28.10.62,1
28.11.63,28.11.63,1
28.12.64,28.12.64,1
29.1.65,29.1.65,1
30.1.66,30.1.66,1
31.1.67,31.1.67,1
32.1.68,32.1.68,1
32.2.69,32.2.69,1
32.3.70,32.3.70,1
32.4.71,32.4.71,1
33.1.72,33.1.72,1
34.1.73,34.1.73,1
34.2.74,34.2.74,1
34.3.75,34.3.75,1
35.1.76,35.1.76,1
