1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
5.2.6,5.2.6,1
5.3.7,5.3.7,1
6.1.8,6.1.8,1
6.2.9,6.2.9,1
6.3.10,6.3.10,1
6.4.11,6.4.11,1
6.5.12,6.5.12,1
6.6.13,6.6.13,1
6.7.14,6.7.14,1
6.8.15,6.8.15,1
6.9.16,6.9.16,1
6.10.17,6.10.17,1
7.1.18,7.1.18,1
8.1.19,8.1.19,1
8.2.20,8.2.20,1
8.3.21,8.3.21,1
9.1.22,9.1.22,1
10.1.23,10.1.23,1
10.2.24,10.2.24,1
10.3.25,10.3.25,1
10.4.26,10.4.26,1
10.5.27,10.5.27,0.97970974
11.1.28,11.1.28,0.9878632
11.2.29,11.2.29,1
11.3.30,11.3.30,1
12.1.31,12.1.31,1
13.1.32,13.1.32,1
14.1.33,14.1.33,1
15.1.34,15.1.34,1
16.1.35,16.1.35,1
17.1.36,17.1.36,1
18.1.37,18.1.37,1
18.2.38,18.2.38,1
18.3.39,18.3.39,1
18.4.40,18.4.40,1
18.5.41,18.5.41,1
18.6.42,18.6.42,1
18.7.43,18.7.43,1
18.8.44,18.8.44,1
18.9.45,18.9.45,1
19.1.46,19.1.46,1
20.1.47,20.1.47,1
21.1.48,21.1.48,1
22.1.49,22.1.49,1
23.1.50,23.1.50,1
24.1.51,24.1.51,1
25.1.52,25.1.52,1
25.2.53,25.2.53,1
25.3.54,25.3.54,1
25.4.55,25.4.55,1
25.5.56,25.5.56,1
25.6.57,25.6.57,1
25.7.58,25.7.58,1
25.8.59,25.8.59,1
25.9.60,25.9.60,1
25.10.61,25.10.61,1
25.11.62,25.11.62,1
25.12.63,25.12.63,1
25.13.64,25.13.64,1
25.14.65,25.14.65,1
25.15.66,25.15.66,1
25.16.67,25.16.67,1
25.17.68,25.17.68,1
25.18.69,25.18.69,1
26.1.70,26.1.70,1
27.1.71,27.1.71,1
28.1.72,28.1.72,1
29.1.73,29.1.73,1
30.1.74,30.1.74,1
31.1.75,31.1.75,1
32.1.76,32.1.76,1
33.1.77,33.1.77,1
33.2.78,33.2.78,1
33.3.79,33.3.79,1
33.4.80,33.4.80,1
33.5.81,33.5.81,1
33.6.82,33.6.82,1
33.7.83,33.7.83,1
33.8.84,33.8.84,1
33.9.85,33.9.85,1
