1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,1
5.1.9,5.1.9,1
6.1.10,6.1.10,0.9791908
6.2.11,6.2.11,1
6.3.12,6.3.12,1
6.4.13,6.4.13,1
6.5.14,6.5.14,1
7.1.15,7.1.15,1
8.1.16,8.1.16,1
9.1.17,9.1.17,1
10.1.18,10.1.18,1
10.2.19,10.2.19,1
10.3.20,10.3.20,0.72727275
10.4.21,10.4.21,1
10.5.22,10.5.22,1
11.1.23,11.1.23,1
12.1.24,12.1.24,1
13.1.25,13.1.25,1
14.1.26,14.1.26,1
15.1.27,15.1.27,1
16.1.28,16.1.28,1
16.2.29,16.2.29,1
17.1.30,17.1.30,1
18.1.31,18.1.31,1
18.2.32,18.2.32,1
18.3.33,18.3.33,1
19.1.34,19.1.34,1
20.1.35,20.1.35,1
20.2.36,20.2.36,1
20.3.37,20.3.37,1
21.1.38,21.1.38,1
22.1.39,22.1.39,1
22.2.40,22.2.40,1
22.3.41,22.3.41,1
23.1.42,23.1.42,1
23.2.43,23.2.43,1
23.3.44,23.3.44,1
24.1.45,24.1.45,1
25.1.46,25.1.46,1
26.1.47,26.1.47,1
26.2.48,26.2.48,1
26.3.49,26.3.49,1
26.4.50,26.4.50,1
27.1.51,27.1.51,1
28.1.52,28.1.52,1
28.2.53,28.2.53,1
28.3.54,28.3.54,1
28.4.55,28.4.55,1
28.5.56,28.5.56,1
29.1.57,29.1.57,1
30.1.58,30.1.58,1
31.1.59,31.1.59,1
31.2.60,31.2.60,1
31.3.61,31.3.61,1
31.4.62,31.4.62,1
31.5.63,31.5.63,1
31.6.64,31.6.64,1
31.7.65,31.7.65,1
31.8.66,31.8.66,1
31.9.67,31.9.67,1
31.10.68,31.10.68,1
31.11.69,31.11.69,1
31.12.70,31.12.70,1
31.13.71,31.13.71,1
32.1.72,32.1.72,1
33.1.73,33.1.73,1
33.2.74,33.2.74,1
33.3.75,33.3.75,1
33.4.76,33.4.76,1
33.5.77,33.5.77,1
34.1.78,34.1.78,1
35.1.79,35.1.79,1
35.2.80,35.2.80,1
35.3.81,35.3.81,1
36.1.82,36.1.82,1
37.1.83,37.1.83,1
38.1.84,38.1.84,1
38.2.85,38.2.85,1
38.3.86,38.3.86,1
38.4.87,38.4.87,1
38.5.88,38.5.88,1
38.6.89,38.6.89,1
38.7.90,38.7.90,1
39.1.91,39.1.91,1
40.1.92,40.1.92,1
40.2.93,40.2.93,1
40.3.94,40.3.94,1
40.4.95,40.4.95,1
40.5.96,40.5.96,1
40.6.97,40.6.97,1
40.7.98,40.7.98,1
41.1.99,41.1.99,1
42.1.100,42.1.100,1
43.1.101,43.1.101,1
43.2.102,43.2.102,1
43.3.103,43.3.103,1
44.1.104,44.1.104,1
45.1.105,45.1.105,1
45.2.106,45.2.106,1
45.3.107,45.3.107,1
45.4.108,45.4.108,1
45.5.109,45.5.109,1
45.6.110,45.6.110,1
45.7.111,45.7.111,1
46.1.112,46.1.112,1
47.1.113,47.1.113,1
47.2.114,47.2.114,1
47.3.115,47.3.115,1
47.4.116,47.4.116,1
47.5.117,47.5.117,1
47.6.118,47.6.118,1
47.7.119,47.7.119,1
47.8.120,47.8.120,1
