1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
3.2.4,3.2.4,1
3.3.5,3.3.5,1
4.1.6,4.1.6,1
5.1.7,5.1.7,1
6.1.8,6.1.8,1
6.2.9,6.2.9,1
7.1.10,7.1.10,1
8.1.11,8.1.11,1
9.1.12,9.1.12,1
10.1.13,10.1.13,1
11.1.14,11.1.14,1
12.1.15,12.1.15,1
13.1.16,13.1.16,1
14.1.17,14.1.17,0.9192487
15.1.18,15.1.18,0.95009005
16.1.19,16.1.19,1
17.1.20,17.1.20,1
18.1.21,18.1.21,1
19.1.22,19.1.22,1
20.1.23,20.1.23,0.9866667
21.1.24,21.1.24,1
22.1.25,22.1.25,1
23.1.26,23.1.26,1
24.1.27,24.1.27,1
25.1.28,25.1.28,1
26.1.29,26.1.29,1
27.1.30,27.1.30,1
27.2.31,27.2.31,1
27.3.32,27.3.32,1
27.4.33,27.4.33,1
27.5.34,27.5.34,0.9454546
27.6.35,27.6.35,1
28.1.36,28.1.36,1
29.1.37,29.1.37,1
30.1.38,30.1.38,1
31.1.39,31.1.39,1
32.1.40,32.1.40,1
33.1.41,33.1.41,1
34.1.42,34.1.42,0.9483708
34.2.43,34.2.43,1
34.3.44,34.3.44,1
34.4.45,34.4.45,0.8909918
34.5.46,34.5.46,1
34.6.47,34.6.47,1
34.7.48,34.7.48,0.9763924
35.1.49,35.1.49,1
36.1.50,36.1.50,1
37.1.51,37.1.51,1
38.1.52,38.1.52,1
39.1.53,39.1.53,1
