1.1.1,1.1.1,0.6744975
2.1.2,_,0
3.1.3,2.1.2,1
4.1.4,3.1.3,1
5.1.5,4.1.4,1
5.2.6,4.2.5,1
5.3.7,4.3.6,1
5.4.8,4.4.7,1
6.1.9,5.1.8,1
7.1.10,6.1.9,1
7.2.11,6.2.10,1
7.3.12,6.3.11,1
8.1.13,7.1.12,1
9.1.14,8.1.13,1
9.2.15,8.2.14,1
9.3.16,8.3.15,1
9.4.17,8.4.16,1
9.5.18,8.5.17,1
10.1.19,9.1.18,1
10.2.20,9.2.19,1
10.3.21,9.3.20,1
10.4.22,9.4.21,1
11.1.23,10.1.22,1
11.2.24,10.2.23,1
11.3.25,10.3.24,1
11.4.26,10.4.25,1
12.1.27,11.1.26,1
13.1.28,12.1.27,1
13.2.29,12.2.28,1
13.3.30,12.3.29,1
14.1.31,13.1.30,1
15.1.32,14.1.31,1
15.2.33,14.2.32,1
15.3.34,14.3.33,1
15.4.35,14.4.34,1
15.5.36,14.5.35,1
16.1.37,15.1.36,1
16.2.38,15.2.37,1
16.3.39,15.3.38,1
16.4.40,15.4.39,1
17.1.41,16.1.40,1
17.2.42,16.2.41,1
17.3.43,16.3.42,1
18.1.44,_,0
19.1.45,_,0
20.1.46,17.1.43,0.6966593
20.2.47,17.2.44,1
20.3.48,17.3.45,1
21.1.49,18.1.46,1
21.2.50,18.2.47,1
21.3.51,18.3.48,1
21.4.52,18.4.49,1
21.5.53,18.5.50,1
23.1.54,19.1.51,1
24.1.55,20.1.52,1
24.2.56,20.2.53,1
24.3.57,20.3.54,1
24.4.58,20.4.55,1
24.5.59,20.5.56,1
24.6.60,20.6.57,1
24.7.61,20.7.58,1
25.1.62,21.1.59,1
25.2.63,21.2.60,1
25.3.64,21.3.61,1
25.4.65,21.4.62,1
25.5.66,21.5.63,1
26.1.67,22.1.64,1
27.1.68,23.1.65,1
27.2.69,23.2.66,1
27.3.70,23.3.67,1
27.4.71,23.4.68,1
27.5.72,23.5.69,1
27.6.73,23.6.70,1
27.7.74,23.7.71,1
27.8.75,23.8.72,1
27.9.76,23.9.73,1
27.10.77,23.10.74,1
27.11.78,23.11.75,1
