1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
4.2.5,4.2.5,1
4.3.6,4.3.6,1
4.4.7,4.4.7,1
4.5.8,4.5.8,1
5.1.9,5.1.9,1
5.2.10,5.2.10,1
5.3.11,5.3.11,1
6.1.12,6.1.12,1
7.1.13,7.1.13,1
8.1.14,8.1.14,1
9.1.15,9.1.15,1
10.1.16,10.1.16,1
11.1.17,11.1.17,1
12.1.18,12.1.18,1
13.1.19,13.1.19,1
14.1.20,14.1.20,1
15.1.21,15.1.21,1
16.1.22,16.1.22,1
17.1.23,17.1.23,1
18.1.24,18.1.24,1
19.1.25,19.1.25,1
19.2.26,19.2.26,1
20.1.27,20.1.27,1
21.1.28,21.1.28,1
22.1.29,22.1.29,1
22.2.30,22.2.30,1
22.3.31,22.3.31,1
22.4.32,22.4.32,1
22.5.33,22.5.33,1
23.1.34,23.1.34,1
24.1.35,24.1.35,1
24.2.36,24.2.36,1
25.1.37,25.1.37,1
25.2.38,_,0
25.3.39,_,0
26.1.40,26.1.38,1
26.2.41,26.2.39,1
27.1.42,27.1.40,1
28.1.43,28.1.41,1
28.2.44,28.2.42,1
29.1.45,29.1.43,1
29.2.46,29.2.44,1
29.3.47,29.3.45,1
29.4.48,29.4.46,1
29.5.49,29.5.47,1
29.6.50,29.6.48,1
29.7.51,29.7.49,1
29.8.52,29.8.50,1
