1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,0.9793799
3.1.7,3.1.7,1
4.1.8,4.1.8,0.9753354
4.2.9,4.2.9,1
4.3.10,4.3.10,1
4.4.11,4.4.11,1
4.5.12,4.5.12,0.8937089
5.1.13,5.1.13,1
6.1.14,_,0
7.1.15,_,0
7.2.16,7.2.16,1
7.3.17,_,0
7.4.18,_,0
7.5.19,_,0
7.6.20,_,0
7.7.21,_,0
7.8.22,_,0
8.1.23,_,0
8.2.24,_,0
8.3.25,_,0
8.4.26,_,0
8.5.27,_,0
8.6.28,_,0
8.7.29,_,0
8.8.30,_,0
8.9.31,_,0
8.10.32,_,0
8.11.33,_,0
9.1.34,_,0
9.2.35,_,0
9.3.36,_,0
9.4.37,_,0
9.5.38,_,0
9.6.39,_,0
9.7.40,_,0
9.8.41,_,0
9.9.42,_,0
9.10.43,_,0
9.11.44,_,0
10.1.45,_,0
10.2.46,_,0
10.3.47,_,0
10.4.48,_,0
10.5.49,_,0
10.6.50,_,0
10.7.51,_,0
10.8.52,_,0
10.9.53,_,0
11.1.54,_,0
11.2.55,_,0
11.3.56,_,0
11.4.57,_,0
11.5.58,_,0
11.6.59,_,0
11.7.60,_,0
11.8.61,_,0
11.9.62,_,0
11.10.63,_,0
11.11.64,_,0
11.12.65,_,0
11.13.66,_,0
11.14.67,_,0
11.15.68,_,0
12.1.69,_,0
12.2.70,_,0
12.3.71,_,0
12.4.72,_,0
12.5.73,_,0
12.6.74,_,0
12.7.75,_,0
12.8.76,_,0
12.9.77,_,0
12.10.78,_,0
13.1.79,6.1.14,0.83577514
14.1.80,7.1.15,0.86994493
14.2.81,_,0
14.3.82,7.3.17,1
14.4.83,7.4.18,1
14.5.84,7.5.19,0.9826708
14.6.85,7.6.20,1
14.7.86,7.7.21,0.9903383
14.8.87,7.8.22,1
14.9.88,7.9.23,1
14.10.89,7.10.24,1
14.11.90,7.11.25,1
14.12.91,7.12.26,1
14.13.92,7.13.27,1
14.14.93,7.14.28,1
14.15.94,7.15.29,1
14.16.95,7.16.30,1
14.17.96,7.17.31,1
14.18.97,7.18.32,1
14.19.98,7.19.33,1
14.20.99,7.20.34,1
14.21.100,7.21.35,1
14.22.101,7.22.36,0.9970443
14.23.102,7.23.37,1
14.24.103,7.24.38,1
14.25.104,7.25.39,1
14.26.105,7.26.40,1
14.27.106,7.27.41,0.9757895
14.28.107,7.28.42,1
14.29.108,7.29.43,1
15.1.109,8.1.44,0.9690938
16.1.110,9.1.45,1
17.1.111,10.1.46,1
17.2.112,10.2.47,1
17.3.113,10.3.48,1
17.4.114,10.4.49,1
18.1.115,11.1.50,1
19.1.116,12.1.51,1
19.2.117,12.2.52,1
19.3.118,12.3.53,1
19.4.119,12.4.54,0.9911463
20.1.120,13.1.55,1
21.1.121,14.1.56,1
22.1.122,15.1.57,0.99005806
23.1.123,16.1.58,1
24.1.124,17.1.59,1
25.1.125,18.1.60,1
25.2.126,18.2.61,1
25.3.127,18.3.62,1
25.4.128,18.4.63,1
25.5.129,18.5.64,1
26.1.130,19.1.65,1
27.1.131,20.1.66,1
28.1.132,21.1.67,1
29.1.133,22.1.68,1
29.2.134,22.2.69,1
30.1.135,23.1.70,1
31.1.136,24.1.71,1
32.1.137,25.1.72,1
33.1.138,26.1.73,0.9965714
34.1.139,27.1.74,1
34.2.140,27.2.75,1
34.3.141,27.3.76,1
34.4.142,27.4.77,1
34.5.143,27.5.78,1
35.1.144,28.1.79,0.9739131
36.1.145,29.1.80,1
37.1.146,30.1.81,1
38.1.147,31.1.82,1
39.1.148,32.1.83,1
40.1.149,33.1.84,0.99106526
41.1.150,34.1.85,1
42.1.151,35.1.86,0.89686275
43.1.152,36.1.87,0.99200076
43.2.153,36.2.88,1
43.3.154,36.3.89,1
