1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
4.2.5,4.2.5,1
4.3.6,4.3.6,1
4.4.7,4.4.7,1
4.5.8,4.5.8,1
5.1.9,5.1.9,1
6.1.10,6.1.10,1
6.2.11,6.2.11,1
6.3.12,6.3.12,1
6.4.13,6.4.13,1
6.5.14,6.5.14,1
7.1.15,7.1.15,1
7.2.16,7.2.16,1
7.3.17,7.3.17,1
8.1.18,8.1.18,1
9.1.19,9.1.19,1
9.2.20,9.2.20,1
9.3.21,9.3.21,1
10.1.22,10.1.22,1
11.1.23,11.1.23,1
11.2.24,11.2.24,1
11.3.25,11.3.25,1
12.1.26,_,0
13.1.27,_,0
14.1.28,_,0
15.1.29,_,0
16.1.30,_,0
16.2.31,_,0
16.3.32,_,0
16.4.33,_,0
16.5.34,_,0
16.6.35,_,0
16.7.36,_,0
16.8.37,_,0
16.9.38,_,0
16.10.39,_,0
17.1.40,_,0
18.1.41,_,0
19.1.42,_,0
19.2.43,_,0
19.3.44,_,0
19.4.45,_,0
19.5.46,_,0
19.6.47,_,0
19.7.48,_,0
19.8.49,_,0
20.1.50,_,0
21.1.51,_,0
22.1.52,_,0
23.1.53,_,0
23.2.54,_,0
23.3.55,_,0
23.4.56,_,0
23.5.57,_,0
23.6.58,_,0
23.7.59,_,0
23.8.60,_,0
