1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
4.2.5,4.2.5,1
4.3.6,4.3.6,1
4.4.7,4.4.7,1
4.5.8,4.5.8,1
4.6.9,4.6.9,1
4.7.10,4.7.10,1
4.8.11,4.8.11,1
5.1.12,5.1.12,1
6.1.13,6.1.13,1
7.1.14,7.1.14,1
8.1.15,8.1.15,1
8.2.16,8.2.16,1
9.1.17,9.1.17,1
10.1.18,10.1.18,1
10.2.19,10.2.19,1
10.3.20,10.3.20,1
10.4.21,10.4.21,1
10.5.22,10.5.22,1
10.6.23,10.6.23,1
11.1.24,11.1.24,1
12.1.25,12.1.25,1
12.2.26,12.2.26,1
12.3.27,12.3.27,1
12.4.28,12.4.28,1
12.5.29,12.5.29,1
12.6.30,12.6.30,1
12.7.31,12.7.31,1
12.8.32,12.8.32,1
12.9.33,12.9.33,1
13.1.34,13.1.34,1
13.2.35,13.2.35,1
14.1.36,14.1.36,1
15.1.37,15.1.37,1
16.1.38,16.1.38,1
16.2.39,16.2.39,1
16.3.40,16.3.40,1
16.4.41,16.4.41,1
16.5.42,16.5.42,1
