_,1.1.1,0
_,1.2.2,0
_,1.3.3,0
_,1.4.4,0
_,1.5.5,0
_,12.1.23,0
_,14.1.28,0
_,21.3.50,0
1.1.1,_,0
2.1.2,2.1.6,1
3.1.3,3.1.7,1
4.1.4,4.1.8,1
5.1.5,5.1.9,1
6.1.6,6.1.10,1
6.2.7,6.2.11,1
6.3.8,6.3.12,1
6.4.9,6.4.13,1
6.5.10,6.5.14,1
6.6.11,6.6.15,1
7.1.12,7.1.16,1
8.1.13,8.1.17,1
9.1.14,9.1.18,1
10.1.15,10.1.19,1
11.1.16,11.1.20,1
11.2.17,11.2.21,1
11.3.18,11.3.22,1
12.1.19,_,0
12.2.20,12.2.24,1
12.3.21,12.3.25,1
13.1.22,13.1.26,1
13.2.23,13.2.27,1
14.1.24,_,0
14.2.25,14.2.29,1
14.3.26,14.3.30,0.67240775
15.1.27,15.1.31,1
15.2.28,15.2.32,1
16.1.29,16.1.33,1
17.1.30,17.1.34,1
17.2.31,17.2.35,1
17.3.32,17.3.36,1
17.4.33,17.4.37,1
18.1.34,18.1.38,1
18.2.35,18.2.39,1
18.3.36,18.3.40,1
18.4.37,18.4.41,1
19.1.38,19.1.42,1
20.1.39,20.1.43,1
20.2.40,20.2.44,1
20.3.41,20.3.45,1
20.4.42,20.4.46,1
20.5.43,20.5.47,1
21.1.44,_,0
22.1.45,21.1.48,1
22.2.46,21.2.49,1
22.3.47,_,0
22.4.48,21.4.51,0.9471315
23.1.49,22.1.52,1
24.1.50,23.1.53,1
25.1.51,24.1.54,1
26.1.52,25.1.55,1
26.2.53,25.2.56,1
26.3.54,25.3.57,1
26.4.55,25.4.58,1
27.1.56,26.1.59,1
28.1.57,27.1.60,1
29.1.58,28.1.61,1
29.2.59,28.2.62,1
29.3.60,28.3.63,1
30.1.61,29.1.64,1
30.2.62,29.2.65,1
30.3.63,29.3.66,1
31.1.64,30.1.67,1
31.2.65,30.2.68,1
31.3.66,30.3.69,1
32.1.67,31.1.70,1
33.1.68,32.1.71,1
33.2.69,32.2.72,1
33.3.70,32.3.73,1
33.4.71,32.4.74,1
33.5.72,32.5.75,1
34.1.73,33.1.76,1
35.1.74,34.1.77,1
36.1.75,35.1.78,1
37.1.76,36.1.79,1
38.1.77,37.1.80,1
38.2.78,37.2.81,1
38.3.79,37.3.82,1
38.4.80,37.4.83,1
38.5.81,37.5.84,1
39.1.82,38.1.85,1
40.1.83,39.1.86,1
41.1.84,40.1.87,1
42.1.85,41.1.88,1
42.2.86,41.2.89,1
42.3.87,41.3.90,1
42.4.88,41.4.91,1
42.5.89,41.5.92,1
42.6.90,41.6.93,1
42.7.91,41.7.94,1
43.1.92,42.1.95,1
44.1.93,43.1.96,1
45.1.94,44.1.97,1
46.1.95,45.1.98,1
47.1.96,46.1.99,1
47.2.97,46.2.100,1
48.1.98,47.1.101,1
49.1.99,48.1.102,1
49.2.100,48.2.103,1
50.1.101,49.1.104,1
51.1.102,50.1.105,1
51.2.103,50.2.106,1
52.1.104,51.1.107,1
53.1.105,52.1.108,1
54.1.106,53.1.109,1
55.1.107,54.1.110,1
55.2.108,54.2.111,1
55.3.109,54.3.112,1
55.4.110,54.4.113,1
56.1.111,55.1.114,1
57.1.112,56.1.115,1
57.2.113,56.2.116,1
57.3.114,56.3.117,1
