1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,1
5.1.9,5.1.9,1
6.1.10,6.1.10,1
6.2.11,6.2.11,1
6.3.12,6.3.12,1
6.4.13,6.4.13,1
6.5.14,6.5.14,1
7.1.15,7.1.15,1
7.2.16,7.2.16,1
7.3.17,7.3.17,1
8.1.18,8.1.18,1
8.2.19,8.2.19,1
8.3.20,8.3.20,1
8.4.21,8.4.21,1
9.1.22,9.1.22,1
9.2.23,9.2.23,1
9.3.24,9.3.24,1
9.4.25,9.4.25,1
10.1.26,10.1.26,1
10.2.27,10.2.27,1
10.3.28,10.3.28,1
10.4.29,10.4.29,1
11.1.30,11.1.30,1
12.1.31,12.1.31,1
13.1.32,13.1.32,1
14.1.33,14.1.33,1
15.1.34,15.1.34,1
15.2.35,15.2.35,1
15.3.36,15.3.36,1
16.1.37,16.1.37,1
17.1.38,17.1.38,1
18.1.39,18.1.39,1
19.1.40,19.1.40,1
19.2.41,19.2.41,1
20.1.42,20.1.42,1
20.2.43,20.2.43,1
20.3.44,20.3.44,1
21.1.45,21.1.45,1
21.2.46,21.2.46,1
22.1.47,22.1.47,1
23.1.48,23.1.48,1
23.2.49,23.2.49,1
24.1.50,24.1.50,1
25.1.51,25.1.51,1
25.2.52,25.2.52,1
25.3.53,25.3.53,1
25.4.54,25.4.54,1
25.5.55,25.5.55,1
25.6.56,25.6.56,1
25.7.57,25.7.57,1
26.1.58,26.1.58,1
26.2.59,26.2.59,1
27.1.60,27.1.60,1
28.1.61,28.1.61,1
28.2.62,28.2.62,1
29.1.63,29.1.63,1
29.2.64,29.2.64,1
29.3.65,29.3.65,1
30.1.66,30.1.66,1
30.2.67,30.2.67,1
31.1.68,31.1.68,1
32.1.69,32.1.69,1
33.1.70,33.1.70,1
33.2.71,33.2.71,1
34.1.72,34.1.72,1
34.2.73,34.2.73,1
34.3.74,34.3.74,1
35.1.75,35.1.75,1
35.2.76,35.2.76,1
35.3.77,35.3.77,1
36.1.78,36.1.78,0.9482759
36.2.79,36.2.79,1
36.3.80,36.3.80,1
36.4.81,36.4.81,1
37.1.82,37.1.82,1
37.2.83,37.2.83,1
37.3.84,37.3.84,1
37.4.85,37.4.85,1
37.5.86,37.5.86,1
38.1.87,38.1.87,1
38.2.88,38.2.88,1
38.3.89,38.3.89,1
39.1.90,39.1.90,1
40.1.91,40.1.91,1
40.2.92,40.2.92,1
41.1.93,41.1.93,1
41.2.94,41.2.94,1
41.3.95,41.3.95,1
41.4.96,41.4.96,1
41.5.97,41.5.97,1
41.6.98,41.6.98,1
42.1.99,42.1.99,1
42.2.100,42.2.100,1
43.1.101,43.1.101,1
43.2.102,43.2.102,1
43.3.103,43.3.103,1
43.4.104,43.4.104,1
44.1.105,44.1.105,1
45.1.106,45.1.106,1
45.2.107,45.2.107,1
45.3.108,45.3.108,1
46.1.109,46.1.109,1
47.1.110,47.1.110,1
48.1.111,48.1.111,1
48.2.112,48.2.112,1
48.3.113,48.3.113,1
49.1.114,49.1.114,1
50.1.115,50.1.115,1
51.1.116,51.1.116,1
52.1.117,52.1.117,1
53.1.118,53.1.118,1
54.1.119,54.1.119,1
55.1.120,55.1.120,1
55.2.121,55.2.121,1
56.1.122,56.1.122,1
57.1.123,57.1.123,1
58.1.124,58.1.124,1
