1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,1
5.1.9,5.1.9,1
6.1.10,6.1.10,1
6.2.11,6.2.11,1
6.3.12,6.3.12,1
7.1.13,7.1.13,1
7.2.14,7.2.14,1
7.3.15,7.3.15,1
7.4.16,7.4.16,1
7.5.17,7.5.17,1
7.6.18,7.6.18,1
7.7.19,7.7.19,1
7.8.20,7.8.20,1
7.9.21,7.9.21,1
7.10.22,7.10.22,1
8.1.23,8.1.23,1
8.2.24,8.2.24,1
8.3.25,8.3.25,1
8.4.26,8.4.26,1
9.1.27,9.1.27,1
9.2.28,9.2.28,1
9.3.29,9.3.29,1
9.4.30,9.4.30,1
10.1.31,10.1.31,1
10.2.32,10.2.32,1
10.3.33,10.3.33,1
10.4.34,10.4.34,1
10.5.35,10.5.35,1
10.6.36,10.6.36,1
10.7.37,10.7.37,1
10.8.38,10.8.38,1
10.9.39,10.9.39,1
11.1.40,11.1.40,1
11.2.41,11.2.41,1
11.3.42,11.3.42,1
12.1.43,12.1.43,1
12.2.44,12.2.44,1
12.3.45,12.3.45,1
13.1.46,13.1.46,1
14.1.47,14.1.47,1
15.1.48,15.1.48,1
16.1.49,16.1.49,1
17.1.50,17.1.50,1
17.2.51,17.2.51,1
17.3.52,17.3.52,1
17.4.53,17.4.53,1
17.5.54,17.5.54,1
17.6.55,17.6.55,1
17.7.56,17.7.56,1
17.8.57,17.8.57,1
17.9.58,17.9.58,1
17.10.59,17.10.59,1
17.11.60,17.11.60,1
18.1.61,18.1.61,1
19.1.62,19.1.62,1
20.1.63,20.1.63,0.86923075
20.2.64,20.2.64,0.8514286
20.3.65,20.3.65,0.87583107
20.4.66,20.4.66,0.7306715
21.1.67,21.1.67,1
22.1.68,22.1.68,1
22.2.69,22.2.69,1
23.1.70,23.1.70,1
24.1.71,24.1.71,1
24.2.72,24.2.72,1
25.1.73,25.1.73,1
26.1.74,26.1.74,1
26.2.75,26.2.75,1
26.3.76,26.3.76,1
27.1.77,27.1.77,1
28.1.78,28.1.78,1
28.2.79,28.2.79,1
28.3.80,28.3.80,1
28.4.81,28.4.81,1
29.1.82,29.1.82,1
29.2.83,29.2.83,1
29.3.84,29.3.84,1
29.4.85,29.4.85,1
29.5.86,29.5.86,1
30.1.87,30.1.87,1
31.1.88,31.1.88,1
32.1.89,32.1.89,1
32.2.90,32.2.90,1
32.3.91,32.3.91,1
