_,1.1.1,0
1.1.1,_,0
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
6.1.6,6.1.6,1
7.1.7,7.1.7,1
7.2.8,7.2.8,1
7.3.9,7.3.9,1
8.1.10,8.1.10,1
9.1.11,9.1.11,1
9.2.12,9.2.12,1
9.3.13,9.3.13,1
9.4.14,9.4.14,1
10.1.15,10.1.15,1
11.1.16,11.1.16,1
12.1.17,12.1.17,1
12.2.18,12.2.18,1
13.1.19,13.1.19,1
14.1.20,14.1.20,1
15.1.21,15.1.21,1
16.1.22,16.1.22,1
17.1.23,17.1.23,1
17.2.24,17.2.24,1
17.3.25,17.3.25,1
17.4.26,17.4.26,1
18.1.27,18.1.27,1
19.1.28,19.1.28,1
19.2.29,19.2.29,1
19.3.30,19.3.30,1
20.1.31,20.1.31,1
21.1.32,21.1.32,1
21.2.33,21.2.33,1
21.3.34,21.3.34,1
21.4.35,21.4.35,1
21.5.36,21.5.36,1
21.6.37,21.6.37,1
21.7.38,21.7.38,1
21.8.39,21.8.39,1
21.9.40,21.9.40,1
22.1.41,22.1.41,1
23.1.42,23.1.42,1
24.1.43,24.1.43,1
25.1.44,25.1.44,1
26.1.45,26.1.45,1
27.1.46,27.1.46,1
28.1.47,28.1.47,1
29.1.48,29.1.48,1
29.2.49,29.2.49,1
29.3.50,29.3.50,1
29.4.51,29.4.51,1
30.1.52,30.1.52,1
30.2.53,30.2.53,1
30.3.54,30.3.54,1
30.4.55,30.4.55,1
30.5.56,30.5.56,1
30.6.57,30.6.57,1
31.1.58,31.1.58,1
32.1.59,32.1.59,1
33.1.60,33.1.60,1
34.1.61,34.1.61,1
35.1.62,35.1.62,1
35.2.63,35.2.63,1
35.3.64,35.3.64,1
35.4.65,35.4.65,1
35.5.66,35.5.66,1
35.6.67,35.6.67,1
35.7.68,35.7.68,1
35.8.69,35.8.69,1
35.9.70,35.9.70,1
35.10.71,35.10.71,1
35.11.72,35.11.72,1
35.12.73,35.12.73,1
35.13.74,35.13.74,1
35.14.75,35.14.75,1
35.15.76,35.15.76,1
35.16.77,35.16.77,1
35.17.78,35.17.78,1
35.18.79,35.18.79,1
35.19.80,35.19.80,1
35.20.81,35.20.81,1
35.21.82,35.21.82,1
36.1.83,36.1.83,1
36.2.84,36.2.84,1
36.3.85,36.3.85,1
37.1.86,37.1.86,1
38.1.87,38.1.87,1
39.1.88,39.1.88,1
40.1.89,40.1.89,1
41.1.90,41.1.90,1
42.1.91,42.1.91,1
42.2.92,42.2.92,1
42.3.93,42.3.93,1
42.4.94,42.4.94,1
42.5.95,42.5.95,1
42.6.96,42.6.96,1
43.1.97,43.1.97,1
44.1.98,44.1.98,1
44.2.99,44.2.99,1
44.3.100,44.3.100,1
44.4.101,44.4.101,1
44.5.102,44.5.102,1
44.6.103,44.6.103,1
45.1.104,45.1.104,1
46.1.105,46.1.105,1
47.1.106,47.1.106,1
47.2.107,47.2.107,1
47.3.108,47.3.108,1
47.4.109,47.4.109,1
47.5.110,47.5.110,1
47.6.111,47.6.111,1
47.7.112,47.7.112,1
48.1.113,48.1.113,1
49.1.114,49.1.114,1
49.2.115,49.2.115,1
49.3.116,49.3.116,1
49.4.117,49.4.117,1
49.5.118,49.5.118,1
49.6.119,49.6.119,1
49.7.120,49.7.120,1
49.8.121,49.8.121,1
49.9.122,49.9.122,1
49.10.123,49.10.123,1
49.11.124,49.11.124,1
49.12.125,49.12.125,1
49.13.126,49.13.126,1
49.14.127,49.14.127,1
49.15.128,49.15.128,1
49.16.129,49.16.129,1
49.17.130,49.17.130,1
49.18.131,49.18.131,1
49.19.132,49.19.132,1
49.20.133,49.20.133,1
49.21.134,49.21.134,1
49.22.135,49.22.135,1
50.1.136,50.1.136,1
51.1.137,51.1.137,1
52.1.138,52.1.138,1
53.1.139,53.1.139,1
53.2.140,53.2.140,1
53.3.141,53.3.141,1
54.1.142,54.1.142,1
54.2.143,54.2.143,1
54.3.144,54.3.144,1
54.4.145,54.4.145,1
54.5.146,54.5.146,1
54.6.147,54.6.147,1
54.7.148,54.7.148,1
54.8.149,54.8.149,1
54.9.150,54.9.150,1
54.10.151,54.10.151,1
54.11.152,54.11.152,1
54.12.153,54.12.153,1
54.13.154,54.13.154,1
55.1.155,55.1.155,1
56.1.156,56.1.156,1
56.2.157,56.2.157,1
56.3.158,56.3.158,1
56.4.159,56.4.159,1
