1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,1
5.1.9,_,0
5.2.10,5.1.9,0.7217686
6.1.11,6.1.10,1
7.1.12,7.1.11,1
7.2.13,7.2.12,1
8.1.14,8.1.13,1
9.1.15,9.1.14,1
9.2.16,9.2.15,1
9.3.17,9.3.16,1
9.4.18,9.4.17,1
9.5.19,9.5.18,1
9.6.20,9.6.19,1
9.7.21,9.7.20,1
9.8.22,9.8.21,1
9.9.23,9.9.22,1
9.10.24,9.10.23,1
9.11.25,9.11.24,1
9.12.26,9.12.25,1
10.1.27,10.1.26,1
11.1.28,11.1.27,1
11.2.29,11.2.28,1
11.3.30,11.3.29,1
11.4.31,11.4.30,1
11.5.32,11.5.31,1
11.6.33,11.6.32,1
11.7.34,11.7.33,1
11.8.35,11.8.34,1
11.9.36,11.9.35,1
11.10.37,11.10.36,1
11.11.38,11.11.37,1
11.12.39,11.12.38,1
11.13.40,11.13.39,1
12.1.41,12.1.40,1
13.1.42,13.1.41,1
14.1.43,14.1.42,1
14.2.44,14.2.43,1
14.3.45,14.3.44,1
15.1.46,15.1.45,1
16.1.47,16.1.46,1
16.2.48,16.2.47,1
17.1.49,17.1.48,1
18.1.50,18.1.49,1
19.1.51,19.1.50,1
19.2.52,19.2.51,1
20.1.53,20.1.52,1
20.2.54,20.2.53,1
20.3.55,20.3.54,1
21.1.56,21.1.55,1
22.1.57,22.1.56,1
23.1.58,23.1.57,1
23.2.59,23.2.58,1
23.3.60,23.3.59,1
24.1.61,24.1.60,1
25.1.62,25.1.61,1
25.2.63,25.2.62,1
25.3.64,25.3.63,1
25.4.65,25.4.64,1
25.5.66,25.5.65,1
25.6.67,25.6.66,1
25.7.68,25.7.67,1
25.8.69,25.8.68,1
25.9.70,25.9.69,1
25.10.71,25.10.70,1
26.1.72,26.1.71,0.87091637
26.2.73,26.2.72,1
26.3.74,26.3.73,1
26.4.75,26.4.74,1
26.5.76,26.5.75,1
27.1.77,27.1.76,1
28.1.78,28.1.77,1
29.1.79,29.1.78,1
