1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,0.98830694
4.1.4,4.1.4,1
5.1.5,5.1.5,1
6.1.6,6.1.6,1
7.1.7,7.1.7,0.98993284
8.1.8,8.1.8,1
8.2.9,8.2.9,1
8.3.10,8.3.10,1
8.4.11,8.4.11,1
8.5.12,8.5.12,1
9.1.13,9.1.13,1
10.1.14,10.1.14,1
11.1.15,11.1.15,0.9969543
11.2.16,11.2.16,1
11.3.17,11.3.17,1
12.1.18,12.1.18,1
13.1.19,13.1.19,1
14.1.20,14.1.20,1
15.1.21,15.1.21,1
15.2.22,15.2.22,1
15.3.23,15.3.23,1
15.4.24,15.4.24,1
15.5.25,15.5.25,1
15.6.26,15.6.26,1
15.7.27,15.7.27,1
16.1.28,16.1.28,1
17.1.29,17.1.29,1
17.2.30,17.2.30,1
17.3.31,17.3.31,1
17.4.32,17.4.32,1
17.5.33,17.5.33,1
17.6.34,17.6.34,1
17.7.35,17.7.35,1
18.1.36,18.1.36,1
19.1.37,19.1.37,1
20.1.38,20.1.38,1
21.1.39,21.1.39,1
22.1.40,22.1.40,1
23.1.41,23.1.41,1
23.2.42,23.2.42,1
23.3.43,23.3.43,1
24.1.44,24.1.44,1
25.1.45,25.1.45,1
26.1.46,26.1.46,1
