1.1.1,1.1.1,1
2.1.2,2.1.2,1
2.2.3,2.2.3,1
2.3.4,2.3.4,1
3.1.5,3.1.5,1
3.2.6,3.2.6,1
3.3.7,3.3.7,1
3.4.8,3.4.8,1
3.5.9,3.5.9,1
3.6.10,3.6.10,1
3.7.11,3.7.11,1
3.8.12,3.8.12,1
3.9.13,3.9.13,1
3.10.14,3.10.14,1
3.11.15,3.11.15,1
3.12.16,3.12.16,1
4.1.17,4.1.17,1
4.2.18,4.2.18,1
4.3.19,4.3.19,1
4.4.20,4.4.20,1
4.5.21,4.5.21,1
4.6.22,4.6.22,1
4.7.23,4.7.23,1
4.8.24,4.8.24,1
4.9.25,4.9.25,1
4.10.26,4.10.26,1
4.11.27,4.11.27,1
4.12.28,4.12.28,1
4.13.29,4.13.29,1
4.14.30,4.14.30,1
4.15.31,4.15.31,1
4.16.32,4.16.32,1
4.17.33,4.17.33,1
4.18.34,4.18.34,1
4.19.35,4.19.35,1
5.1.36,5.1.36,1
5.2.37,5.2.37,1
5.3.38,5.3.38,1
5.4.39,5.4.39,1
5.5.40,5.5.40,1
5.6.41,5.6.41,1
6.1.42,6.1.42,1
6.2.43,6.2.43,1
6.3.44,6.3.44,1
6.4.45,6.4.45,1
7.1.46,7.1.46,1
7.2.47,7.2.47,1
7.3.48,7.3.48,1
7.4.49,7.4.49,1
7.5.50,7.5.50,1
7.6.51,7.6.51,1
7.7.52,7.7.52,1
7.8.53,7.8.53,1
7.9.54,7.9.54,1
