1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
5.2.6,5.2.6,1
5.3.7,5.3.7,1
6.1.8,6.1.8,1
7.1.9,7.1.9,1
8.1.10,8.1.10,1
8.2.11,8.2.11,1
8.3.12,8.3.12,1
8.4.13,8.4.13,1
8.5.14,8.5.14,1
8.6.15,8.6.15,1
8.7.16,8.7.16,1
9.1.17,9.1.17,1
9.2.18,9.2.18,1
9.3.19,9.3.19,1
10.1.20,10.1.20,1
11.1.21,11.1.21,1
12.1.22,12.1.22,1
12.2.23,12.2.23,1
12.3.24,12.3.24,1
12.4.25,12.4.25,1
12.5.26,12.5.26,1
12.6.27,12.6.27,1
13.1.28,13.1.28,1
14.1.29,14.1.29,1
14.2.30,14.2.30,1
14.3.31,14.3.31,1
14.4.32,14.4.32,1
14.5.33,14.5.33,1
14.6.34,14.6.34,1
15.1.35,15.1.35,1
16.1.36,16.1.36,1
17.1.37,17.1.37,1
18.1.38,18.1.38,1
19.1.39,19.1.39,1
19.2.40,19.2.40,1
19.3.41,19.3.41,1
