1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
6.1.6,6.1.6,1
7.1.7,7.1.7,1
8.1.8,8.1.8,1
9.1.9,9.1.9,1
10.1.10,10.1.10,1
11.1.11,11.1.11,1
12.1.12,12.1.12,1
13.1.13,13.1.13,0.98636365
14.1.14,14.1.14,1
15.1.15,15.1.15,1
16.1.16,16.1.16,1
17.1.17,17.1.17,1
18.1.18,18.1.18,1
19.1.19,19.1.19,1
20.1.20,20.1.20,1
21.1.21,21.1.21,1
22.1.22,22.1.22,1
23.1.23,23.1.23,1
24.1.24,24.1.24,1
24.2.25,24.2.25,1
24.3.26,24.3.26,1
25.1.27,25.1.27,1
26.1.28,26.1.28,1
27.1.29,27.1.29,1
28.1.30,28.1.30,1
29.1.31,29.1.31,1
30.1.32,30.1.32,1
31.1.33,31.1.33,1
32.1.34,32.1.34,1
33.1.35,33.1.35,0.9947369
34.1.36,34.1.36,1
35.1.37,35.1.37,1
36.1.38,36.1.38,1
36.2.39,36.2.39,1
36.3.40,36.3.40,1
37.1.41,37.1.41,1
38.1.42,38.1.42,1
39.1.43,39.1.43,1
40.1.44,40.1.44,1
41.1.45,41.1.45,1
42.1.46,42.1.46,1
42.2.47,42.2.47,1
42.3.48,42.3.48,1
42.4.49,42.4.49,1
42.5.50,42.5.50,1
42.6.51,42.6.51,1
43.1.52,43.1.52,1
