1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
5.2.6,5.2.6,1
5.3.7,5.3.7,1
5.4.8,5.4.8,1
5.5.9,5.5.9,1
5.6.10,5.6.10,1
5.7.11,5.7.11,1
5.8.12,5.8.12,1
5.9.13,5.9.13,1
5.10.14,5.10.14,1
6.1.15,6.1.15,1
7.1.16,7.1.16,1
8.1.17,8.1.17,1
9.1.18,9.1.18,1
10.1.19,10.1.19,1
11.1.20,11.1.20,1
12.1.21,12.1.21,1
13.1.22,13.1.22,1
13.2.23,13.2.23,1
13.3.24,13.3.24,1
14.1.25,14.1.25,1
15.1.26,15.1.26,1
16.1.27,16.1.27,1
17.1.28,17.1.28,1
18.1.29,18.1.29,1
19.1.30,19.1.30,1
20.1.31,20.1.31,1
21.1.32,21.1.32,1
22.1.33,22.1.33,1
22.2.34,22.2.34,1
22.3.35,22.3.35,1
22.4.36,22.4.36,1
22.5.37,22.5.37,1
22.6.38,22.6.38,1
22.7.39,22.7.39,1
22.8.40,22.8.40,1
22.9.41,22.9.41,1
22.10.42,22.10.42,1
22.11.43,22.11.43,1
22.12.44,22.12.44,1
22.13.45,22.13.45,1
22.14.46,22.14.46,1
22.15.47,22.15.47,1
23.1.48,23.1.48,1
24.1.49,24.1.49,1
24.2.50,24.2.50,1
24.3.51,24.3.51,1
25.1.52,25.1.52,1
26.1.53,26.1.53,1
27.1.54,27.1.54,1
28.1.55,28.1.55,1
29.1.56,29.1.56,0.9975709
