1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,0.6311967
4.1.4,_,0
4.2.5,_,0
5.1.6,_,0
6.1.7,4.1.4,1
7.1.8,5.1.5,1
7.2.9,5.2.6,1
7.3.10,5.3.7,1
8.1.11,6.1.8,1
8.2.12,6.2.9,1
8.3.13,6.3.10,1
8.4.14,6.4.11,1
8.5.15,6.5.12,1
9.1.16,7.1.13,1
10.1.17,8.1.14,1
11.1.18,9.1.15,1
11.2.19,9.2.16,1
11.3.20,9.3.17,1
11.4.21,9.4.18,1
11.5.22,9.5.19,1
11.6.23,9.6.20,1
11.7.24,9.7.21,1
11.8.25,9.8.22,1
11.9.26,9.9.23,1
11.10.27,9.10.24,1
11.11.28,9.11.25,1
11.12.29,9.12.26,1
11.13.30,9.13.27,1
11.14.31,9.14.28,1
11.15.32,9.15.29,1
11.16.33,9.16.30,1
11.17.34,9.17.31,1
12.1.35,10.1.32,1
12.2.36,10.2.33,1
12.3.37,10.3.34,1
12.4.38,10.4.35,1
12.5.39,10.5.36,1
12.6.40,10.6.37,1
12.7.41,10.7.38,1
12.8.42,10.8.39,1
12.9.43,10.9.40,1
13.1.44,11.1.41,1
14.1.45,12.1.42,1
14.2.46,12.2.43,1
14.3.47,12.3.44,1
14.4.48,12.4.45,1
14.5.49,12.5.46,1
15.1.50,13.1.47,1
16.1.51,14.1.48,1
17.1.52,15.1.49,1
18.1.53,16.1.50,1
18.2.54,16.2.51,1
18.3.55,16.3.52,1
18.4.56,16.4.53,1
18.5.57,16.5.54,1
18.6.58,16.6.55,1
19.1.59,17.1.56,1
20.1.60,18.1.57,1
20.2.61,18.2.58,1
20.3.62,18.3.59,1
20.4.63,18.4.60,1
20.5.64,18.5.61,1
20.6.65,18.6.62,1
20.7.66,18.7.63,1
20.8.67,18.8.64,1
21.1.68,19.1.65,1
22.1.69,20.1.66,1
23.1.70,21.1.67,1
23.2.71,21.2.68,1
23.3.72,21.3.69,1
24.1.73,22.1.70,1
24.2.74,22.2.71,1
24.3.75,22.3.72,1
24.4.76,22.4.73,1
24.5.77,22.5.74,1
24.6.78,22.6.75,1
24.7.79,22.7.76,1
25.1.80,23.1.77,1
25.2.81,23.2.78,1
25.3.82,23.3.79,1
25.4.83,23.4.80,1
25.5.84,23.5.81,1
26.1.85,24.1.82,1
27.1.86,25.1.83,1
28.1.87,26.1.84,1
29.1.88,27.1.85,1
30.1.89,28.1.86,1
30.2.90,28.2.87,1
30.3.91,28.3.88,1
30.4.92,28.4.89,1
30.5.93,28.5.90,1
30.6.94,28.6.91,1
30.7.95,28.7.92,1
30.8.96,28.8.93,1
31.1.97,29.1.94,1
31.2.98,29.2.95,1
31.3.99,29.3.96,1
