1.1.1,1.1.1,0.9836956
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
4.2.5,4.2.5,1
4.3.6,4.3.6,1
5.1.7,5.1.7,1
5.2.8,5.2.8,1
6.1.9,6.1.9,1
7.1.10,7.1.10,1
7.2.11,7.2.11,1
7.3.12,7.3.12,1
7.4.13,7.4.13,1
7.5.14,7.5.14,1
8.1.15,8.1.15,1
9.1.16,9.1.16,1
9.2.17,9.2.17,1
9.3.18,9.3.18,1
10.1.19,10.1.19,1
10.2.20,10.2.20,1
10.3.21,10.3.21,1
11.1.22,11.1.22,1
12.1.23,12.1.23,1
13.1.24,13.1.24,1
13.2.25,13.2.25,1
13.3.26,13.3.26,1
13.4.27,13.4.27,1
13.5.28,13.5.28,1
13.6.29,13.6.29,1
13.7.30,13.7.30,1
13.8.31,13.8.31,1
13.9.32,13.9.32,1
14.1.33,14.1.33,1
14.2.34,14.2.34,1
14.3.35,14.3.35,1
15.1.36,15.1.36,1
16.1.37,16.1.37,1
17.1.38,17.1.38,1
18.1.39,18.1.39,1
18.2.40,18.2.40,1
18.3.41,18.3.41,1
19.1.42,19.1.42,1
20.1.43,20.1.43,1
20.2.44,20.2.44,1
20.3.45,20.3.45,1
20.4.46,20.4.46,1
20.5.47,20.5.47,1
20.6.48,20.6.48,1
20.7.49,20.7.49,1
20.8.50,20.8.50,1
21.1.51,21.1.51,1
22.1.52,22.1.52,1
23.1.53,23.1.53,1
24.1.54,24.1.54,1
24.2.55,24.2.55,1
24.3.56,24.3.56,1
25.1.57,25.1.57,1
25.2.58,25.2.58,1
25.3.59,25.3.59,1
25.4.60,25.4.60,1
25.5.61,25.5.61,1
25.6.62,25.6.62,1
25.7.63,25.7.63,1
25.8.64,25.8.64,1
25.9.65,25.9.65,1
25.10.66,25.10.66,1
25.11.67,25.11.67,1
25.12.68,25.12.68,1
25.13.69,25.13.69,1
25.14.70,25.14.70,1
25.15.71,25.15.71,1
25.16.72,25.16.72,1
25.17.73,25.17.73,1
25.18.74,25.18.74,1
25.19.75,25.19.75,1
25.20.76,25.20.76,1
25.21.77,25.21.77,1
25.22.78,25.22.78,1
25.23.79,25.23.79,1
25.24.80,25.24.80,1
26.1.81,26.1.81,1
27.1.82,27.1.82,1
27.2.83,27.2.83,1
27.3.84,27.3.84,1
27.4.85,27.4.85,1
27.5.86,27.5.86,1
27.6.87,27.6.87,1
27.7.88,27.7.88,1
27.8.89,27.8.89,1
27.9.90,27.9.90,1
27.10.91,27.10.91,1
27.11.92,27.11.92,1
27.12.93,27.12.93,1
27.13.94,27.13.94,1
27.14.95,27.14.95,1
27.15.96,27.15.96,1
27.16.97,27.16.97,1
27.17.98,27.17.98,1
27.18.99,27.18.99,1
27.19.100,27.19.100,1
27.20.101,27.20.101,1
27.21.102,27.21.102,1
27.22.103,27.22.103,1
28.1.104,28.1.104,1
29.1.105,29.1.105,1
29.2.106,29.2.106,1
29.3.107,29.3.107,1
29.4.108,29.4.108,1
29.5.109,29.5.109,1
29.6.110,29.6.110,1
30.1.111,30.1.111,1
31.1.112,31.1.112,1
32.1.113,32.1.113,1
33.1.114,33.1.114,1
34.1.115,34.1.115,1
34.2.116,34.2.116,1
34.3.117,34.3.117,1
35.1.118,35.1.118,1
35.2.119,35.2.119,1
36.1.120,36.1.120,1
37.1.121,37.1.121,1
38.1.122,38.1.122,1
38.2.123,38.2.123,1
38.3.124,38.3.124,1
38.4.125,38.4.125,1
38.5.126,38.5.126,1
39.1.127,39.1.127,1
40.1.128,40.1.128,1
40.2.129,40.2.129,1
40.3.130,40.3.130,1
40.4.131,40.4.131,1
