_,5.1.13,0
_,13.3.50,0
_,14.1.51,0
_,14.2.52,0
_,15.1.53,0
_,16.1.54,0
_,17.1.55,0
_,18.1.56,0
_,19.1.57,0
1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
3.2.4,3.2.4,1
3.3.5,3.3.5,1
3.4.6,3.4.6,1
3.5.7,3.5.7,1
3.6.8,3.6.8,1
4.1.9,4.1.9,1
4.2.10,4.2.10,1
4.3.11,4.3.11,1
4.4.12,4.4.12,1
5.1.13,_,0
6.1.14,_,0
6.2.15,_,0
6.3.16,_,0
6.4.17,_,0
7.1.18,_,0
8.1.19,_,0
8.2.20,_,0
8.3.21,_,0
8.4.22,_,0
8.5.23,_,0
8.6.24,_,0
8.7.25,_,0
8.8.26,_,0
8.9.27,_,0
8.10.28,_,0
8.11.29,_,0
8.12.30,_,0
8.13.31,_,0
8.14.32,_,0
8.15.33,_,0
8.16.34,_,0
8.17.35,_,0
8.18.36,_,0
9.1.37,_,0
10.1.38,_,0
10.2.39,_,0
10.3.40,_,0
10.4.41,_,0
11.1.42,_,0
12.1.43,_,0
13.1.44,_,0
14.1.45,_,0
14.2.46,_,0
14.3.47,_,0
15.1.48,_,0
16.1.49,_,0
17.1.50,_,0
17.2.51,_,0
17.3.52,_,0
17.4.53,_,0
17.5.54,_,0
18.1.55,_,0
18.2.56,_,0
18.3.57,_,0
19.1.58,_,0
19.2.59,_,0
19.3.60,_,0
20.1.61,_,0
21.1.62,_,0
21.2.63,_,0
21.3.64,_,0
22.1.65,_,0
22.2.66,_,0
22.3.67,_,0
22.4.68,_,0
22.5.69,_,0
22.6.70,_,0
22.7.71,_,0
22.8.72,_,0
22.9.73,_,0
22.10.74,_,0
22.11.75,_,0
22.12.76,_,0
22.13.77,_,0
22.14.78,_,0
22.15.79,_,0
22.16.80,_,0
22.17.81,_,0
22.18.82,_,0
22.19.83,_,0
22.20.84,_,0
22.21.85,_,0
22.22.86,_,0
22.23.87,_,0
22.24.88,_,0
22.25.89,_,0
22.26.90,_,0
22.27.91,_,0
22.28.92,_,0
22.29.93,_,0
23.1.94,_,0
23.2.95,_,0
23.3.96,_,0
23.4.97,_,0
23.5.98,_,0
23.6.99,_,0
24.1.100,_,0
25.1.101,_,0
25.2.102,_,0
25.3.103,_,0
25.4.104,_,0
26.1.105,6.1.14,1
27.1.106,7.1.15,1
28.1.107,_,0
29.1.108,8.1.16,1
30.1.109,9.1.17,1
30.2.110,9.2.18,1
30.3.111,9.3.19,1
30.4.112,9.4.20,0.9511628
30.5.113,9.5.21,1
30.6.114,9.6.22,1
30.7.115,9.7.23,1
30.8.116,9.8.24,1
30.9.117,9.9.25,1
30.10.118,9.10.26,1
30.11.119,9.11.27,1
30.12.120,9.12.28,1
30.13.121,9.13.29,1
30.14.122,9.14.30,1
31.1.123,10.1.31,1
32.1.124,11.1.32,1
32.2.125,11.2.33,1
32.3.126,11.3.34,1
33.1.127,12.1.35,1
33.2.128,12.2.36,1
33.3.129,12.3.37,1
33.4.130,12.4.38,1
33.5.131,12.5.39,1
33.6.132,12.6.40,1
33.7.133,12.7.41,1
33.8.134,12.8.42,1
33.9.135,12.9.43,1
33.10.136,12.10.44,1
33.11.137,12.11.45,1
33.12.138,12.12.46,1
33.13.139,12.13.47,1
34.1.140,13.1.48,0.6120135
34.2.141,13.2.49,1
34.3.142,_,0
34.4.143,_,0
34.5.144,_,0
34.6.145,_,0
