1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
3.2.4,3.2.4,1
3.3.5,3.3.5,1
3.4.6,3.4.6,1
3.5.7,3.5.7,1
4.1.8,4.1.8,0.8883721
5.1.9,5.1.9,1
6.1.10,6.1.10,1
6.2.11,6.2.11,1
6.3.12,6.3.12,1
6.4.13,6.4.13,1
7.1.14,7.1.14,1
8.1.15,8.1.15,1
9.1.16,9.1.16,1
10.1.17,10.1.17,1
10.2.18,10.2.18,1
10.3.19,10.3.19,1
10.4.20,10.4.20,1
10.5.21,10.5.21,1
11.1.22,11.1.22,1
11.2.23,11.2.23,1
11.3.24,11.3.24,1
12.1.25,12.1.25,1
13.1.26,13.1.26,1
14.1.27,14.1.27,1
14.2.28,14.2.28,1
14.3.29,14.3.29,1
14.4.30,14.4.30,1
14.5.31,14.5.31,1
14.6.32,14.6.32,1
15.1.33,15.1.33,1
15.2.34,15.2.34,1
15.3.35,15.3.35,1
15.4.36,15.4.36,1
15.5.37,15.5.37,1
15.6.38,15.6.38,1
15.7.39,15.7.39,1
15.8.40,15.8.40,1
15.9.41,15.9.41,1
15.10.42,15.10.42,1
15.11.43,15.11.43,1
15.12.44,15.12.44,1
15.13.45,15.13.45,1
16.1.46,16.1.46,1
17.1.47,17.1.47,1
18.1.48,18.1.48,1
18.2.49,18.2.49,1
18.3.50,18.3.50,1
18.4.51,18.4.51,1
19.1.52,19.1.52,1
19.2.53,19.2.53,1
20.1.54,20.1.54,1
21.1.55,21.1.55,1
22.1.56,22.1.56,1
22.2.57,22.2.57,1
22.3.58,22.3.58,1
22.4.59,22.4.59,1
22.5.60,22.5.60,1
23.1.61,23.1.61,1
24.1.62,24.1.62,1
25.1.63,25.1.63,1
25.2.64,25.2.64,1
25.3.65,25.3.65,1
25.4.66,25.4.66,1
25.5.67,25.5.67,1
25.6.68,25.6.68,1
25.7.69,25.7.69,1
25.8.70,25.8.70,1
25.9.71,25.9.71,1
25.10.72,25.10.72,1
25.11.73,25.11.73,1
25.12.74,25.12.74,1
25.13.75,25.13.75,1
25.14.76,25.14.76,1
25.15.77,25.15.77,1
25.16.78,25.16.78,1
25.17.79,25.17.79,1
25.18.80,25.18.80,1
25.19.81,25.19.81,1
25.20.82,25.20.82,1
25.21.83,25.21.83,1
25.22.84,25.22.84,1
25.23.85,25.23.85,1
25.24.86,25.24.86,1
25.25.87,25.25.87,1
26.1.88,26.1.88,1
27.1.89,27.1.89,1
27.2.90,27.2.90,1
27.3.91,27.3.91,1
27.4.92,27.4.92,1
27.5.93,27.5.93,1
27.6.94,27.6.94,1
27.7.95,27.7.95,1
27.8.96,27.8.96,1
27.9.97,27.9.97,1
28.1.98,28.1.98,1
29.1.99,29.1.99,1
29.2.100,29.2.100,1
29.3.101,29.3.101,1
29.4.102,29.4.102,1
29.5.103,29.5.103,1
29.6.104,29.6.104,1
29.7.105,29.7.105,1
29.8.106,29.8.106,1
29.9.107,29.9.107,1
29.10.108,29.10.108,1
29.11.109,29.11.109,1
30.1.110,30.1.110,1
30.2.111,30.2.111,1
30.3.112,30.3.112,1
30.4.113,30.4.113,1
30.5.114,30.5.114,1
30.6.115,30.6.115,1
30.7.116,30.7.116,1
30.8.117,30.8.117,1
30.9.118,30.9.118,1
30.10.119,30.10.119,1
30.11.120,30.11.120,1
30.12.121,30.12.121,1
31.1.122,31.1.122,1
32.1.123,32.1.123,1
33.1.124,33.1.124,1
33.2.125,33.2.125,1
33.3.126,33.3.126,1
33.4.127,33.4.127,1
33.5.128,33.5.128,1
34.1.129,34.1.129,1
35.1.130,35.1.130,1
35.2.131,35.2.131,1
35.3.132,35.3.132,1
35.4.133,35.4.133,1
35.5.134,35.5.134,1
35.6.135,35.6.135,1
35.7.136,35.7.136,1
35.8.137,35.8.137,1
35.9.138,35.9.138,1
36.1.139,36.1.139,1
37.1.140,37.1.140,1
37.2.141,37.2.141,1
37.3.142,37.3.142,1
37.4.143,37.4.143,1
38.1.144,38.1.144,1
38.2.145,38.2.145,1
38.3.146,38.3.146,1
38.4.147,38.4.147,1
38.5.148,38.5.148,1
39.1.149,39.1.149,1
40.1.150,40.1.150,1
40.2.151,40.2.151,1
40.3.152,40.3.152,1
40.4.153,40.4.153,1
40.5.154,40.5.154,1
40.6.155,40.6.155,1
40.7.156,40.7.156,1
40.8.157,40.8.157,1
40.9.158,40.9.158,1
40.10.159,40.10.159,1
40.11.160,40.11.160,1
41.1.161,41.1.161,1
42.1.162,42.1.162,1
