1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
4.2.5,4.2.5,1
4.3.6,4.3.6,1
4.4.7,4.4.7,1
5.1.8,5.1.8,1
5.2.9,5.2.9,1
6.1.10,6.1.10,1
6.2.11,6.2.11,1
6.3.12,6.3.12,1
6.4.13,6.4.13,1
6.5.14,6.5.14,1
6.6.15,6.6.15,1
6.7.16,6.7.16,1
7.1.17,_,0
7.2.18,_,0
7.3.19,_,0
7.4.20,_,0
7.5.21,_,0
8.1.22,7.1.17,1
9.1.23,8.1.18,1
9.2.24,8.2.19,1
10.1.25,9.1.20,1
11.1.26,10.1.21,1
11.2.27,10.2.22,1
11.3.28,10.3.23,1
11.4.29,10.4.24,1
11.5.30,10.5.25,1
11.6.31,10.6.26,1
12.1.32,11.1.27,1
13.1.33,12.1.28,1
14.1.34,13.1.29,1
15.1.35,14.1.30,1
15.2.36,14.2.31,1
15.3.37,14.3.32,1
15.4.38,14.4.33,1
15.5.39,14.5.34,1
15.6.40,14.6.35,1
16.1.41,15.1.36,1
17.1.42,16.1.37,1
18.1.43,17.1.38,1
19.1.44,18.1.39,1
20.1.45,19.1.40,1
21.1.46,20.1.41,1
22.1.47,21.1.42,1
22.2.48,21.2.43,1
22.3.49,21.3.44,1
22.4.50,21.4.45,1
23.1.51,22.1.46,1
23.2.52,22.2.47,1
24.1.53,23.1.48,1
25.1.54,24.1.49,1
25.2.55,24.2.50,1
25.3.56,24.3.51,1
25.4.57,24.4.52,1
26.1.58,25.1.53,1
27.1.59,26.1.54,1
27.2.60,26.2.55,1
28.1.61,27.1.56,1
29.1.62,28.1.57,1
30.1.63,29.1.58,1
30.2.64,29.2.59,1
31.1.65,30.1.60,1
32.1.66,31.1.61,1
