1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,1
4.2.9,4.2.9,1
4.3.10,4.3.10,1
5.1.11,5.1.11,1
6.1.12,6.1.12,1
6.2.13,_,0
6.3.14,6.2.13,1
6.4.15,6.3.14,1
7.1.16,7.1.15,1
8.1.17,8.1.16,1
8.2.18,_,0
8.3.19,8.2.17,1
8.4.20,8.3.18,1
9.1.21,9.1.19,1
9.2.22,9.2.20,1
9.3.23,9.3.21,1
10.1.24,10.1.22,1
10.2.25,10.2.23,1
11.1.26,11.1.24,1
12.1.27,12.1.25,1
12.2.28,12.2.26,1
12.3.29,12.3.27,1
12.4.30,12.4.28,1
12.5.31,12.5.29,1
12.6.32,_,0
12.7.33,12.6.30,1
12.8.34,12.7.31,1
12.9.35,12.8.32,1
12.10.36,12.9.33,1
12.11.37,12.10.34,1
13.1.38,13.1.35,1
14.1.39,14.1.36,1
14.2.40,14.2.37,1
14.3.41,14.3.38,1
15.1.42,15.1.39,1
16.1.43,16.1.40,1
17.1.44,17.1.41,1
17.2.45,_,0
17.3.46,17.2.42,1
17.4.47,17.3.43,1
17.5.48,17.4.44,1
17.6.49,17.5.45,1
17.7.50,17.6.46,1
17.8.51,17.7.47,1
18.1.52,18.1.48,1
19.1.53,19.1.49,1
19.2.54,19.2.50,1
19.3.55,19.3.51,1
19.4.56,19.4.52,1
19.5.57,19.5.53,1
19.6.58,19.6.54,1
19.7.59,19.7.55,1
19.8.60,19.8.56,1
19.9.61,19.9.57,1
19.10.62,19.10.58,1
19.11.63,19.11.59,1
19.12.64,19.12.60,1
19.13.65,19.13.61,1
19.14.66,19.14.62,1
19.15.67,19.15.63,1
19.16.68,19.16.64,1
19.17.69,19.17.65,1
19.18.70,19.18.66,1
19.19.71,19.19.67,1
19.20.72,19.20.68,1
19.21.73,19.21.69,1
19.22.74,19.22.70,1
19.23.75,19.23.71,1
19.24.76,19.24.72,1
19.25.77,19.25.73,1
19.26.78,19.26.74,1
19.27.79,19.27.75,1
19.28.80,19.28.76,1
19.29.81,19.29.77,1
19.30.82,19.30.78,1
19.31.83,19.31.79,1
19.32.84,19.32.80,1
19.33.85,19.33.81,1
19.34.86,19.34.82,1
19.35.87,19.35.83,1
19.36.88,19.36.84,1
19.37.89,19.37.85,1
19.38.90,19.38.86,1
19.39.91,19.39.87,1
19.40.92,19.40.88,1
20.1.93,20.1.89,1
21.1.94,21.1.90,1
22.1.95,22.1.91,1
22.2.96,22.2.92,1
22.3.97,22.3.93,1
22.4.98,22.4.94,1
22.5.99,_,0
22.6.100,22.5.95,1
22.7.101,22.6.96,1
23.1.102,23.1.97,1
23.2.103,_,0
23.3.104,23.2.98,1
23.4.105,23.3.99,1
23.5.106,23.4.100,1
23.6.107,23.5.101,1
24.1.108,24.1.102,1
25.1.109,25.1.103,1
26.1.110,26.1.104,1
26.2.111,26.2.105,1
26.3.112,26.3.106,1
26.4.113,26.4.107,1
26.5.114,26.5.108,1
26.6.115,26.6.109,1
26.7.116,26.7.110,1
26.8.117,26.8.111,1
26.9.118,26.9.112,1
26.10.119,26.10.113,1
26.11.120,26.11.114,1
26.12.121,26.12.115,1
26.13.122,26.13.116,1
26.14.123,26.14.117,1
26.15.124,26.15.118,1
26.16.125,26.16.119,1
26.17.126,26.17.120,1
26.18.127,26.18.121,1
26.19.128,26.19.122,1
26.20.129,26.20.123,1
26.21.130,26.21.124,1
26.22.131,26.22.125,1
26.23.132,26.23.126,1
26.24.133,26.24.127,1
26.25.134,26.25.128,1
26.26.135,26.26.129,1
26.27.136,26.27.130,1
26.28.137,26.28.131,1
26.29.138,26.29.132,1
26.30.139,26.30.133,1
26.31.140,26.31.134,1
26.32.141,26.32.135,1
26.33.142,26.33.136,1
26.34.143,26.34.137,1
26.35.144,26.35.138,1
26.36.145,26.36.139,1
26.37.146,26.37.140,1
26.38.147,26.38.141,1
26.39.148,26.39.142,1
26.40.149,26.40.143,1
26.41.150,26.41.144,1
27.1.151,27.1.145,1
28.1.152,28.1.146,1
29.1.153,29.1.147,1
30.1.154,30.1.148,1
31.1.155,31.1.149,1
31.2.156,31.2.150,1
31.3.157,31.3.151,1
31.4.158,31.4.152,1
31.5.159,31.5.153,1
31.6.160,31.6.154,1
31.7.161,31.7.155,1
