1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,1
4.2.9,4.2.9,1
4.3.10,4.3.10,1
4.4.11,4.4.11,1
5.1.12,5.1.12,1
6.1.13,6.1.13,1
7.1.14,7.1.14,1
8.1.15,8.1.15,1
8.2.16,8.2.16,1
9.1.17,9.1.17,1
9.2.18,9.2.18,1
10.1.19,10.1.19,1
11.1.20,11.1.20,1
11.2.21,11.2.21,1
11.3.22,11.3.22,1
12.1.23,12.1.23,1
13.1.24,13.1.24,1
13.2.25,13.2.25,1
13.3.26,13.3.26,1
14.1.27,14.1.27,1
14.2.28,14.2.28,1
14.3.29,14.3.29,1
15.1.30,15.1.30,1
15.2.31,15.2.31,1
16.1.32,16.1.32,1
16.2.33,16.2.33,1
17.1.34,_,0
18.1.35,_,0
19.1.36,_,0
20.1.37,_,0
21.1.38,_,0
21.2.39,_,0
21.3.40,_,0
21.4.41,_,0
21.5.42,_,0
22.1.43,17.1.34,0.7650124
23.1.44,18.1.35,1
24.1.45,19.1.36,1
24.2.46,19.2.37,1
25.1.47,20.1.38,1
25.2.48,20.2.39,1
26.1.49,21.1.40,1
27.1.50,_,0
28.1.51,22.1.41,1
29.1.52,23.1.42,1
30.1.53,24.1.43,1
31.1.54,25.1.44,1
31.2.55,25.2.45,1
32.1.56,26.1.46,1
33.1.57,27.1.47,1
34.1.58,28.1.48,1
35.1.59,29.1.49,1
36.1.60,30.1.50,1
37.1.61,31.1.51,1
38.1.62,32.1.52,1
39.1.63,33.1.53,1
39.2.64,33.2.54,1
39.3.65,33.3.55,1
39.4.66,33.4.56,1
39.5.67,33.5.57,1
40.1.68,34.1.58,1
40.2.69,34.2.59,1
41.1.70,35.1.60,1
41.2.71,35.2.61,1
42.1.72,36.1.62,1
42.2.73,36.2.63,1
43.1.74,37.1.64,1
44.1.75,38.1.65,1
45.1.76,39.1.66,1
45.2.77,39.2.67,1
45.3.78,39.3.68,1
46.1.79,40.1.69,1
46.2.80,40.2.70,1
47.1.81,41.1.71,1
48.1.82,42.1.72,1
49.1.83,43.1.73,1
49.2.84,43.2.74,1
50.1.85,44.1.75,1
51.1.86,45.1.76,1
51.2.87,45.2.77,1
52.1.88,46.1.78,1
52.2.89,46.2.79,1
53.1.90,47.1.80,1
54.1.91,48.1.81,1
55.1.92,49.1.82,1
56.1.93,50.1.83,1
57.1.94,51.1.84,1
58.1.95,52.1.85,1
59.1.96,53.1.86,1
60.1.97,54.1.87,1
60.2.98,54.2.88,1
60.3.99,54.3.89,1
60.4.100,54.4.90,1
60.5.101,54.5.91,1
61.1.102,55.1.92,1
61.2.103,55.2.93,1
61.3.104,55.3.94,1
61.4.105,55.4.95,1
61.5.106,55.5.96,1
62.1.107,56.1.97,1
63.1.108,57.1.98,1
64.1.109,58.1.99,1
65.1.110,59.1.100,1
66.1.111,60.1.101,1
67.1.112,61.1.102,1
67.2.113,61.2.103,1
67.3.114,61.3.104,1
67.4.115,61.4.105,1
67.5.116,61.5.106,1
67.6.117,61.6.107,1
67.7.118,61.7.108,1
67.8.119,61.8.109,1
67.9.120,61.9.110,1
67.10.121,61.10.111,1
67.11.122,61.11.112,1
68.1.123,62.1.113,1
68.2.124,62.2.114,1
68.3.125,62.3.115,1
