_,8.1.18,0
_,14.1.37,0
_,23.1.53,0
1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,0.7625
5.1.5,5.1.5,1
5.2.6,5.2.6,1
5.3.7,5.3.7,1
5.4.8,5.4.8,1
6.1.9,6.1.9,1
6.2.10,6.2.10,0.8601421
6.3.11,6.3.11,1
6.4.12,6.4.12,1
7.1.13,7.1.13,0.7677769
7.2.14,7.2.14,1
7.3.15,7.3.15,1
7.4.16,7.4.16,1
7.5.17,_,0
7.6.18,7.5.17,1
8.1.19,_,0
8.2.20,8.2.19,0.7743378
8.3.21,8.3.20,1
8.4.22,8.4.21,1
9.1.23,9.1.22,0.82075346
10.1.24,10.1.23,0.8645499
10.2.25,10.2.24,1
11.1.26,11.1.25,0.8710811
11.2.27,11.2.26,1
12.1.28,12.1.27,1
12.2.29,13.2.33,0.6026416
12.2.29,12.2.28,0.90870965
12.3.30,12.3.29,0.8354167
12.4.31,12.4.30,0.940613
12.4.31,12.5.31,0.5427437
12.5.32,12.5.31,0.9389272
13.1.33,13.1.32,1
13.2.34,13.2.33,0.8937856
13.2.34,12.2.28,0.6229378
13.3.35,13.3.34,0.8629122
13.3.35,12.5.31,0.6876031
13.4.36,13.4.35,0.7761866
13.5.37,13.5.36,0.5202534
13.5.37,12.5.31,0.6108068
14.1.38,20.1.48,0.5291367
15.1.39,17.1.44,0.65639263
15.2.40,21.2.50,0.6482428
15.2.40,17.2.45,0.5775697
16.1.41,18.1.46,0.68643534
17.1.42,19.1.47,0.76573086
18.1.43,20.1.48,0.8473622
19.1.44,21.1.49,0.7932184
19.2.45,21.2.50,0.86086965
20.1.46,22.1.51,0.8298948
20.2.47,22.2.52,0.6393235
21.1.48,19.1.47,0.6360529
22.1.49,16.1.43,0.70024955
23.1.50,_,0
23.2.51,13.3.34,0.46791428
24.1.52,_,0
25.1.53,15.1.38,1
25.2.54,15.2.39,1
25.3.55,15.3.40,1
25.4.56,15.4.41,1
25.5.57,15.5.42,1
26.1.58,_,0
26.2.59,_,0
27.1.60,_,0
27.2.61,_,0
27.3.62,_,0
28.1.63,_,0
28.2.64,_,0
29.1.65,_,0
30.1.66,_,0
31.1.67,_,0
31.2.68,_,0
31.3.69,_,0
31.4.70,_,0
31.5.71,_,0
32.1.72,_,0
32.2.73,_,0
32.3.74,_,0
32.4.75,_,0
32.5.76,_,0
32.6.77,_,0
33.1.78,_,0
33.2.79,_,0
33.3.80,_,0
33.4.81,_,0
34.1.82,_,0
35.1.83,_,0
35.2.84,_,0
35.3.85,_,0
35.4.86,_,0
35.5.87,_,0
35.6.88,_,0
36.1.89,_,0
36.2.90,_,0
36.3.91,_,0
36.4.92,_,0
36.5.93,_,0
36.6.94,_,0
36.7.95,_,0
36.8.96,_,0
36.9.97,_,0
37.1.98,_,0
37.2.99,_,0
37.3.100,_,0
38.1.101,24.1.54,0.73688596
39.1.102,25.1.55,1
39.2.103,_,0
39.3.104,25.2.56,1
