1.1.1,_,0
2.1.2,1.1.1,1
3.1.3,2.1.2,1
4.1.4,3.1.3,1
4.2.5,3.2.4,1
4.3.6,3.3.5,1
5.1.7,4.1.6,1
5.2.8,4.2.7,1
5.3.9,4.3.8,1
5.4.10,4.4.9,1
5.5.11,4.5.10,1
5.6.12,4.6.11,1
5.7.13,4.7.12,1
5.8.14,4.8.13,1
6.1.15,5.1.14,1
7.1.16,6.1.15,1
8.1.17,7.1.16,1
8.2.18,7.2.17,1
8.3.19,7.3.18,1
8.4.20,7.4.19,1
8.5.21,7.5.20,1
8.6.22,7.6.21,1
8.7.23,7.7.22,1
8.8.24,7.8.23,1
8.9.25,7.9.24,1
8.10.26,7.10.25,1
8.11.27,7.11.26,1
9.1.28,8.1.27,1
10.1.29,9.1.28,1
10.2.30,9.2.29,1
10.3.31,9.3.30,1
11.1.32,10.1.31,1
12.1.33,11.1.32,1
12.2.34,11.2.33,1
12.3.35,11.3.34,1
12.4.36,11.4.35,1
12.5.37,11.5.36,1
13.1.38,12.1.37,1
13.2.39,12.2.38,1
13.3.40,12.3.39,1
13.4.41,12.4.40,1
13.5.42,12.5.41,1
14.1.43,13.1.42,1
15.1.44,14.1.43,1
16.1.45,15.1.44,1
17.1.46,16.1.45,1
18.1.47,17.1.46,1
18.2.48,17.2.47,1
18.3.49,17.3.48,1
18.4.50,17.4.49,1
18.5.51,17.5.50,1
18.6.52,17.6.51,1
18.7.53,17.7.52,1
18.8.54,17.8.53,1
18.9.55,17.9.54,1
19.1.56,18.1.55,1
20.1.57,19.1.56,1
21.1.58,20.1.57,1
21.2.59,20.2.58,1
21.3.60,20.3.59,1
21.4.61,20.4.60,1
21.5.62,20.5.61,1
22.1.63,21.1.62,1
