1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
4.2.5,4.2.5,1
4.3.6,4.3.6,1
4.4.7,4.4.7,1
4.5.8,4.5.8,1
4.6.9,4.6.9,1
5.1.10,5.1.10,1
6.1.11,6.1.11,1
6.2.12,6.2.12,1
6.3.13,6.3.13,1
6.4.14,6.4.14,1
6.5.15,6.5.15,1
6.6.16,6.6.16,1
6.7.17,6.7.17,1
6.8.18,6.8.18,1
6.9.19,6.9.19,1
7.1.20,7.1.20,1
7.2.21,7.2.21,1
8.1.22,8.1.22,1
8.2.23,8.2.23,1
8.3.24,8.3.24,1
8.4.25,8.4.25,1
8.5.26,8.5.26,1
8.6.27,8.6.27,1
8.7.28,8.7.28,1
8.8.29,8.8.29,1
8.9.30,8.9.30,1
9.1.31,9.1.31,1
10.1.32,10.1.32,1
11.1.33,11.1.33,1
12.1.34,12.1.34,1
12.2.35,12.2.35,1
12.3.36,12.3.36,1
12.4.37,12.4.37,1
13.1.38,13.1.38,1
13.2.39,13.2.39,1
13.3.40,13.3.40,1
13.4.41,13.4.41,1
13.5.42,13.5.42,1
14.1.43,14.1.43,1
15.1.44,15.1.44,1
15.2.45,15.2.45,1
16.1.46,16.1.46,1
16.2.47,16.2.47,1
16.3.48,16.3.48,1
16.4.49,16.4.49,1
16.5.50,16.5.50,1
16.6.51,16.6.51,1
16.7.52,16.7.52,1
16.8.53,16.8.53,1
16.9.54,16.9.54,1
16.10.55,16.10.55,1
17.1.56,17.1.56,1
17.2.57,17.2.57,1
18.1.58,18.1.58,1
19.1.59,19.1.59,1
20.1.60,20.1.60,1
21.1.61,21.1.61,1
21.2.62,21.2.62,1
21.3.63,21.3.63,1
21.4.64,21.4.64,1
21.5.65,21.5.65,1
21.6.66,21.6.66,1
22.1.67,22.1.67,1
22.2.68,22.2.68,1
22.3.69,22.3.69,1
22.4.70,22.4.70,1
22.5.71,22.5.71,1
22.6.72,22.6.72,1
23.1.73,23.1.73,1
24.1.74,24.1.74,1
24.2.75,24.2.75,1
25.1.76,25.1.76,1
25.2.77,25.2.77,1
