1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
3.2.8,3.2.8,1
3.3.9,3.3.9,1
4.1.10,4.1.10,1
5.1.11,5.1.11,1
6.1.12,6.1.12,1
7.1.13,7.1.13,1
8.1.14,8.1.14,1
8.2.15,8.2.15,1
8.3.16,8.3.16,1
9.1.17,9.1.17,1
10.1.18,10.1.18,1
10.2.19,10.2.19,1
10.3.20,10.3.20,1
10.4.21,10.4.21,1
10.5.22,10.5.22,1
10.6.23,10.6.23,1
10.7.24,10.7.24,1
10.8.25,10.8.25,1
10.9.26,10.9.26,1
10.10.27,10.10.27,1
11.1.28,11.1.28,1
12.1.29,12.1.29,1
12.2.30,12.2.30,1
12.3.31,12.3.31,1
13.1.32,13.1.32,1
13.2.33,13.2.33,1
13.3.34,13.3.34,1
13.4.35,13.4.35,1
14.1.36,14.1.36,1
14.2.37,14.2.37,1
14.3.38,14.3.38,1
15.1.39,15.1.39,1
16.1.40,16.1.40,1
16.2.41,16.2.41,1
16.3.42,16.3.42,1
17.1.43,17.1.43,1
18.1.44,18.1.44,1
19.1.45,19.1.45,1
19.2.46,19.2.46,1
19.3.47,19.3.47,1
20.1.48,20.1.48,1
21.1.49,21.1.49,0.8888889
22.1.50,22.1.50,1
23.1.51,23.1.51,1
24.1.52,24.1.52,1
24.2.53,24.2.53,1
25.1.54,25.1.54,1
26.1.55,26.1.55,1
27.1.56,27.1.56,1
28.1.57,28.1.57,1
29.1.58,29.1.58,1
30.1.59,30.1.59,1
30.2.60,30.2.60,1
30.3.61,30.3.61,1
31.1.62,31.1.62,1
32.1.63,32.1.63,1
32.2.64,32.2.64,1
33.1.65,33.1.65,1
34.1.66,34.1.66,1
35.1.67,35.1.67,1
35.2.68,35.2.68,1
36.1.69,36.1.69,1
37.1.70,37.1.70,1
38.1.71,38.1.71,1
39.1.72,39.1.72,1
40.1.73,40.1.73,1
41.1.74,41.1.74,1
41.2.75,41.2.75,1
41.3.76,41.3.76,1
41.4.77,41.4.77,1
41.5.78,41.5.78,1
