_,8.1.18,0
_,16.1.48,0
1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
5.2.6,5.2.6,1
5.3.7,5.3.7,1
5.4.8,5.4.8,1
5.5.9,5.5.9,1
5.6.10,5.6.10,1
5.7.11,5.7.11,1
6.1.12,6.1.12,1
7.1.13,7.1.13,1
7.2.14,7.2.14,1
7.3.15,7.3.15,0.8872774
7.4.16,7.4.16,1
7.5.17,7.5.17,1
8.1.18,_,0
9.1.19,_,0
9.2.20,_,0
9.3.21,_,0
10.1.22,_,0
10.2.23,_,0
10.3.24,_,0
10.4.25,_,0
11.1.26,9.1.19,1
12.1.27,_,0
12.2.28,_,0
12.3.29,_,0
13.1.30,10.1.20,1
14.1.31,11.1.21,1
14.2.32,11.2.22,1
14.3.33,11.3.23,1
14.4.34,11.4.24,1
14.5.35,11.5.25,1
14.6.36,_,0
14.7.37,_,0
15.1.38,11.6.26,1
15.2.39,11.7.27,1
15.3.40,11.8.28,1
15.4.41,11.9.29,1
16.1.42,_,0
16.2.43,12.1.30,1
16.3.44,12.2.31,1
16.4.45,12.3.32,1
16.5.46,12.4.33,1
16.6.47,12.5.34,1
16.7.48,12.6.35,1
16.8.49,12.7.36,0.9052632
17.1.50,13.1.37,1
18.1.51,14.1.38,1
18.2.52,14.2.39,1
18.3.53,14.3.40,1
18.4.54,14.4.41,1
19.1.55,15.1.42,1
19.2.56,15.2.43,1
19.3.57,15.3.44,1
19.4.58,15.4.45,1
19.5.59,15.5.46,1
19.6.60,15.6.47,1
20.1.61,_,0
21.1.62,_,0
22.1.63,_,0
23.1.64,_,0
23.2.65,_,0
23.3.66,_,0
23.4.67,_,0
23.5.68,_,0
23.6.69,_,0
23.7.70,_,0
23.8.71,_,0
23.9.72,_,0
