1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
4.2.5,4.2.5,1
4.3.6,4.3.6,1
4.4.7,4.4.7,1
4.5.8,4.5.8,1
4.6.9,4.6.9,1
5.1.10,5.1.10,1
6.1.11,6.1.11,1
7.1.12,7.1.12,1
7.2.13,7.2.13,1
7.3.14,7.3.14,1
7.4.15,7.4.15,1
8.1.16,8.1.16,1
9.1.17,9.1.17,1
10.1.18,10.1.18,1
10.2.19,10.2.19,1
11.1.20,11.1.20,1
12.1.21,12.1.21,1
13.1.22,13.1.22,1
14.1.23,14.1.23,1
15.1.24,15.1.24,1
16.1.25,16.1.25,1
16.2.26,16.2.26,1
16.3.27,16.3.27,1
17.1.28,17.1.28,1
18.1.29,18.1.29,1
19.1.30,19.1.30,1
20.1.31,20.1.31,1
21.1.32,21.1.32,1
22.1.33,22.1.33,1
22.2.34,22.2.34,1
22.3.35,22.3.35,1
23.1.36,23.1.36,1
24.1.37,24.1.37,1
24.2.38,24.2.38,1
24.3.39,24.3.39,1
24.4.40,24.4.40,1
24.5.41,24.5.41,1
24.6.42,24.6.42,1
24.7.43,24.7.43,1
