1.1.1,1.1.1,0.89756095
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
6.1.6,6.1.6,1
7.1.7,7.1.7,1
7.2.8,7.2.8,1
8.1.9,8.1.9,1
9.1.10,9.1.10,1
9.2.11,9.2.11,1
9.3.12,9.3.12,1
9.4.13,9.4.13,1
9.5.14,9.5.14,1
9.6.15,9.6.15,1
9.7.16,9.7.16,1
9.8.17,9.8.17,1
10.1.18,10.1.18,1
11.1.19,11.1.19,1
12.1.20,12.1.20,1
12.2.21,12.2.21,1
13.1.22,13.1.22,1
14.1.23,14.1.23,1
14.2.24,14.2.24,1
14.3.25,14.3.25,1
14.4.26,14.4.26,1
14.5.27,14.5.27,1
14.6.28,14.6.28,1
14.7.29,14.7.29,1
14.8.30,14.8.30,1
14.9.31,14.9.31,1
14.10.32,14.10.32,1
15.1.33,15.1.33,1
16.1.34,16.1.34,1
17.1.35,17.1.35,1
18.1.36,18.1.36,1
19.1.37,19.1.37,1
20.1.38,20.1.38,1
20.2.39,20.2.39,1
20.3.40,20.3.40,1
21.1.41,21.1.41,1
22.1.42,22.1.42,1
23.1.43,23.1.43,1
24.1.44,24.1.44,1
25.1.45,25.1.45,1
26.1.46,26.1.46,1
27.1.47,27.1.47,1
28.1.48,28.1.48,1
29.1.49,29.1.49,1
30.1.50,30.1.50,1
30.2.51,30.2.51,1
30.3.52,30.3.52,1
30.4.53,30.4.53,1
30.5.54,30.5.54,1
30.6.55,30.6.55,1
30.7.56,30.7.56,1
31.1.57,31.1.57,1
32.1.58,32.1.58,1
33.1.59,33.1.59,1
33.2.60,33.2.60,1
33.3.61,33.3.61,1
