_,1.1.1,0
_,41.3.71,0
1.1.1,_,0
1.2.2,_,0
1.3.3,_,0
1.4.4,_,0
1.5.5,_,0
2.1.6,2.1.2,1
3.1.7,3.1.3,1
4.1.8,4.1.4,1
5.1.9,5.1.5,0.7874032
6.1.10,6.1.6,0.95560527
7.1.11,7.1.7,1
8.1.12,8.1.8,0.97878814
9.1.13,9.1.9,1
9.2.14,9.2.10,1
10.1.15,10.1.11,1
10.2.16,10.2.12,1
10.3.17,10.3.13,1
11.1.18,11.1.14,0.9892216
12.1.19,12.1.15,1
12.2.20,12.2.16,1
12.3.21,12.3.17,1
12.4.22,12.4.18,1
13.1.23,13.1.19,0.9967742
14.1.24,14.1.20,1
14.2.25,14.2.21,1
14.3.26,14.3.22,1
14.4.27,14.4.23,1
14.5.28,14.5.24,1
14.6.29,14.6.25,1
15.1.30,15.1.26,1
15.2.31,15.2.27,1
16.1.32,16.1.28,0.97493786
16.2.33,16.2.29,1
16.3.34,16.3.30,1
16.4.35,_,0
16.5.36,16.4.31,0.7602463
16.6.37,16.5.32,1
16.7.38,16.6.33,1
17.1.39,17.1.34,1
18.1.40,18.1.35,1
18.2.41,18.2.36,1
18.3.42,18.3.37,1
19.1.43,19.1.38,1
20.1.44,20.1.39,1
20.2.45,20.2.40,1
21.1.46,21.1.41,1
21.2.47,21.2.42,1
22.1.48,22.1.43,1
22.2.49,22.2.44,1
22.3.50,22.3.45,1
23.1.51,23.1.46,1
24.1.52,24.1.47,0.89213485
25.1.53,25.1.48,1
25.2.54,25.2.49,1
26.1.55,26.1.50,1
26.2.56,26.2.51,1
26.3.57,26.3.52,1
27.1.58,27.1.53,1
27.2.59,27.2.54,1
27.3.60,27.3.55,0.9522215
28.1.61,28.1.56,1
29.1.62,29.1.57,0.9813572
30.1.63,30.1.58,1
31.1.64,31.1.59,1
32.1.65,32.1.60,0.97931397
33.1.66,33.1.61,0.90678287
34.1.67,34.1.62,0.9851377
35.1.68,35.1.63,1
36.1.69,36.1.64,0.98137116
37.1.70,37.1.65,1
38.1.71,38.1.66,1
39.1.72,39.1.67,1
40.1.73,40.1.68,1
41.1.74,41.1.69,1
41.2.75,41.2.70,1
41.3.76,_,0
42.1.77,42.1.72,1
43.1.78,43.1.73,1
43.2.79,43.2.74,1
43.3.80,43.3.75,1
44.1.81,44.1.76,0.9972093
45.1.82,45.1.77,1
45.2.83,45.2.78,1
46.1.84,46.1.79,1
47.1.85,47.1.80,1
48.1.86,48.1.81,1
49.1.87,49.1.82,0.9970732
50.1.88,50.1.83,1
51.1.89,51.1.84,1
51.2.90,51.2.85,1
52.1.91,52.1.86,1
52.2.92,52.2.87,0.9901985
53.1.93,53.1.88,1
54.1.94,54.1.89,1
55.1.95,55.1.90,0.988492
56.1.96,56.1.91,1
56.2.97,56.2.92,1
56.3.98,56.3.93,1
57.1.99,57.1.94,0.98173964
58.1.100,58.1.95,1
59.1.101,59.1.96,0.9803816
60.1.102,60.1.97,1
60.2.103,60.2.98,1
60.3.104,60.3.99,1
60.4.105,60.4.100,1
60.5.106,60.5.101,1
60.6.107,60.6.102,1
60.7.108,60.7.103,1
60.8.109,60.8.104,1
60.9.110,60.9.105,1
61.1.111,61.1.106,1
62.1.112,62.1.107,1
