1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
6.1.6,6.1.6,1
6.2.7,6.2.7,1
6.3.8,6.3.8,1
7.1.9,7.1.9,1
8.1.10,8.1.10,1
9.1.11,9.1.11,1
9.2.12,9.2.12,1
9.3.13,9.3.13,1
9.4.14,9.4.14,1
9.5.15,9.5.15,1
9.6.16,9.6.16,1
9.7.17,9.7.17,1
9.8.18,9.8.18,1
9.9.19,9.9.19,1
10.1.20,10.1.20,1
11.1.21,11.1.21,1
12.1.22,12.1.22,1
12.2.23,12.2.23,1
12.3.24,12.3.24,1
12.4.25,12.4.25,1
13.1.26,13.1.26,1
14.1.27,14.1.27,1
14.2.28,14.2.28,1
14.3.29,14.3.29,1
14.4.30,14.4.30,1
15.1.31,15.1.31,1
16.1.32,16.1.32,1
17.1.33,17.1.33,1
18.1.34,18.1.34,1
19.1.35,19.1.35,1
20.1.36,20.1.36,1
20.2.37,20.2.37,1
20.3.38,20.3.38,1
20.4.39,20.4.39,1
20.5.40,20.5.40,1
20.6.41,20.6.41,1
21.1.42,21.1.42,1
22.1.43,22.1.43,1
23.1.44,23.1.44,1
24.1.45,24.1.45,1
24.2.46,24.2.46,1
25.1.47,25.1.47,1
26.1.48,26.1.48,1
27.1.49,27.1.49,1
28.1.50,28.1.50,1
29.1.51,29.1.51,1
29.2.52,29.2.52,1
29.3.53,29.3.53,1
29.4.54,29.4.54,1
29.5.55,29.5.55,1
30.1.56,30.1.56,1
31.1.57,31.1.57,1
32.1.58,32.1.58,1
33.1.59,33.1.59,1
34.1.60,34.1.60,1
35.1.61,35.1.61,1
36.1.62,36.1.62,1
