1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
3.2.4,3.2.4,1
3.3.5,3.3.5,1
3.4.6,3.4.6,1
3.5.7,3.5.7,1
3.6.8,3.6.8,1
4.1.9,4.1.9,1
4.2.10,4.2.10,1
4.3.11,4.3.11,1
5.1.12,5.1.12,1
5.2.13,5.2.13,1
5.3.14,5.3.14,1
6.1.15,6.1.15,1
6.2.16,6.2.16,1
7.1.17,7.1.17,1
8.1.18,8.1.18,1
8.2.19,8.2.19,1
8.3.20,8.3.20,1
8.4.21,8.4.21,1
8.5.22,8.5.22,1
8.6.23,8.6.23,1
8.7.24,8.7.24,1
9.1.25,9.1.25,1
9.2.26,9.2.26,1
9.3.27,9.3.27,1
9.4.28,9.4.28,1
9.5.29,9.5.29,1
9.6.30,9.6.30,1
10.1.31,10.1.31,1
10.2.32,10.2.32,1
10.3.33,10.3.33,1
11.1.34,11.1.34,1
12.1.35,12.1.35,1
13.1.36,13.1.36,1
14.1.37,14.1.37,1
14.2.38,14.2.38,1
14.3.39,14.3.39,1
14.4.40,14.4.40,1
14.5.41,14.5.41,1
14.6.42,14.6.42,1
14.7.43,14.7.43,1
14.8.44,14.8.44,1
14.9.45,14.9.45,1
14.10.46,14.10.46,1
14.11.47,14.11.47,1
15.1.48,15.1.48,1
15.2.49,15.2.49,1
15.3.50,15.3.50,1
16.1.51,16.1.51,1
17.1.52,17.1.52,1
18.1.53,18.1.53,1
19.1.54,19.1.54,1
20.1.55,20.1.55,0.9536083
20.2.56,20.2.56,1
20.3.57,20.3.57,1
20.4.58,20.4.58,1
20.5.59,20.5.59,1
20.6.60,20.6.60,1
20.7.61,20.7.61,1
20.8.62,20.8.62,1
20.9.63,20.9.63,1
21.1.64,21.1.64,0.96661365
21.2.65,21.2.65,0.94600004
22.1.66,22.1.66,1
22.2.67,22.2.67,0.94097364
22.3.68,22.3.68,1
23.1.69,23.1.69,0.95653236
24.1.70,24.1.70,1
24.2.71,24.2.71,1
24.3.72,24.3.72,1
24.4.73,24.4.73,1
24.5.74,24.5.74,1
