_,1.1.1,0
1.1.1,_,0
1.2.2,_,0
1.3.3,_,0
1.4.4,_,0
1.5.5,_,0
2.1.6,2.1.2,1
3.1.7,3.1.3,1
4.1.8,4.1.4,1
5.1.9,5.1.5,1
6.1.10,6.1.6,1
6.2.11,6.2.7,1
6.3.12,6.3.8,1
7.1.13,7.1.9,1
8.1.14,8.1.10,1
8.2.15,8.2.11,1
8.3.16,8.3.12,1
9.1.17,9.1.13,1
9.2.18,9.2.14,1
9.3.19,9.3.15,1
10.1.20,10.1.16,1
11.1.21,11.1.17,1
12.1.22,12.1.18,1
13.1.23,13.1.19,1
14.1.24,14.1.20,1
14.2.25,14.2.21,1
14.3.26,14.3.22,1
14.4.27,14.4.23,1
14.5.28,14.5.24,1
14.6.29,14.6.25,1
14.7.30,14.7.26,1
14.8.31,14.8.27,1
14.9.32,14.9.28,1
14.10.33,14.10.29,1
14.11.34,14.11.30,1
14.12.35,14.12.31,1
15.1.36,15.1.32,1
15.2.37,15.2.33,1
15.3.38,15.3.34,1
16.1.39,16.1.35,1
16.2.40,16.2.36,1
16.3.41,16.3.37,1
16.4.42,16.4.38,1
16.5.43,16.5.39,1
17.1.44,17.1.40,1
18.1.45,18.1.41,1
19.1.46,19.1.42,1
19.2.47,19.2.43,1
19.3.48,19.3.44,1
19.4.49,19.4.45,1
19.5.50,19.5.46,1
19.6.51,19.6.47,1
19.7.52,19.7.48,1
19.8.53,19.8.49,1
19.9.54,19.9.50,1
19.10.55,19.10.51,1
19.11.56,19.11.52,1
19.12.57,19.12.53,1
20.1.58,20.1.54,1
20.2.59,20.2.55,1
20.3.60,20.3.56,1
20.4.61,20.4.57,1
20.5.62,20.5.58,1
20.6.63,20.6.59,1
20.7.64,20.7.60,1
21.1.65,21.1.61,1
22.1.66,22.1.62,1
22.2.67,22.2.63,1
22.3.68,22.3.64,1
22.4.69,22.4.65,1
22.5.70,22.5.66,1
22.6.71,22.6.67,1
22.7.72,22.7.68,1
22.8.73,22.8.69,1
22.9.74,22.9.70,1
22.10.75,22.10.71,1
22.11.76,22.11.72,1
23.1.77,23.1.73,1
24.1.78,24.1.74,1
25.1.79,25.1.75,1
25.2.80,25.2.76,1
26.1.81,26.1.77,1
27.1.82,27.1.78,1
28.1.83,28.1.79,1
28.2.84,28.2.80,1
28.3.85,28.3.81,1
28.4.86,28.4.82,1
29.1.87,29.1.83,1
29.2.88,29.2.84,1
29.3.89,29.3.85,1
29.4.90,29.4.86,1
29.5.91,29.5.87,1
30.1.92,30.1.88,1
31.1.93,31.1.89,1
31.2.94,31.2.90,1
31.3.95,31.3.91,1
31.4.96,31.4.92,1
32.1.97,32.1.93,1
33.1.98,33.1.94,1
34.1.99,34.1.95,1
35.1.100,35.1.96,1
36.1.101,36.1.97,1
36.2.102,36.2.98,1
36.3.103,36.3.99,1
36.4.104,36.4.100,1
36.5.105,36.5.101,1
37.1.106,37.1.102,1
38.1.107,38.1.103,1
38.2.108,38.2.104,1
38.3.109,38.3.105,1
38.4.110,38.4.106,1
38.5.111,38.5.107,1
39.1.112,39.1.108,1
40.1.113,40.1.109,1
41.1.114,41.1.110,1
41.2.115,41.2.111,1
41.3.116,41.3.112,1
42.1.117,42.1.113,1
43.1.118,43.1.114,1
44.1.119,44.1.115,1
45.1.120,45.1.116,1
