1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
3.2.4,3.2.4,1
4.1.5,4.1.5,1
5.1.6,5.1.6,1
6.1.7,6.1.7,1
6.2.8,6.2.8,1
7.1.9,7.1.9,1
8.1.10,8.1.10,1
9.1.11,9.1.11,1
9.2.12,9.2.12,1
10.1.13,10.1.13,0.9835805
11.1.14,11.1.14,0.9895297
12.1.15,12.1.15,1
12.2.16,12.2.16,1
12.3.17,12.3.17,1
12.4.18,12.4.18,1
12.5.19,12.5.19,1
13.1.20,13.1.20,1
14.1.21,14.1.21,1
14.2.22,14.2.22,1
14.3.23,14.3.23,1
14.4.24,14.4.24,1
15.1.25,15.1.25,1
16.1.26,16.1.26,1
17.1.27,17.1.27,0.99781024
17.2.28,17.2.28,1
17.3.29,17.3.29,1
18.1.30,18.1.30,1
19.1.31,19.1.31,1
20.1.32,20.1.32,1
21.1.33,21.1.33,1
22.1.34,22.1.34,1
23.1.35,23.1.35,1
24.1.36,24.1.36,1
24.2.37,24.2.37,1
25.1.38,25.1.38,1
25.2.39,25.2.39,1
25.3.40,25.3.40,1
26.1.41,26.1.41,1
26.2.42,26.2.42,1
26.3.43,26.3.43,1
27.1.44,27.1.44,1
27.2.45,27.2.45,1
27.3.46,27.3.46,1
28.1.47,28.1.47,1
28.2.48,28.2.48,1
28.3.49,28.3.49,1
29.1.50,29.1.50,1
29.2.51,29.2.51,1
29.3.52,29.3.52,1
30.1.53,30.1.53,1
30.2.54,30.2.54,1
30.3.55,30.3.55,1
31.1.56,31.1.56,1
31.2.57,31.2.57,1
31.3.58,31.3.58,1
31.4.59,31.4.59,1
31.5.60,31.5.60,1
32.1.61,32.1.61,1
32.2.62,32.2.62,1
32.3.63,32.3.63,1
32.4.64,32.4.64,1
32.5.65,32.5.65,1
32.6.66,32.6.66,1
33.1.67,33.1.67,1
34.1.68,34.1.68,1
35.1.69,35.1.69,1
35.2.70,35.2.70,1
35.3.71,35.3.71,1
35.4.72,35.4.72,1
36.1.73,36.1.73,1
37.1.74,37.1.74,1
37.2.75,37.2.75,1
37.3.76,37.3.76,1
38.1.77,38.1.77,1
39.1.78,39.1.78,1
40.1.79,40.1.79,1
41.1.80,41.1.80,1
42.1.81,42.1.81,1
43.1.82,43.1.82,1
44.1.83,44.1.83,1
45.1.84,45.1.84,1
46.1.85,46.1.85,1
47.1.86,47.1.86,1
48.1.87,48.1.87,1
49.1.88,49.1.88,1
50.1.89,50.1.89,1
50.2.90,50.2.90,1
50.3.91,50.3.91,1
50.4.92,50.4.92,1
51.1.93,51.1.93,1
52.1.94,52.1.94,1
53.1.95,53.1.95,1
54.1.96,54.1.96,1
55.1.97,55.1.97,1
56.1.98,56.1.98,1
57.1.99,57.1.99,1
58.1.100,58.1.100,1
59.1.101,59.1.101,1
60.1.102,60.1.102,1
