1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
5.2.6,5.2.6,1
5.3.7,5.3.7,1
5.4.8,5.4.8,1
6.1.9,6.1.9,1
7.1.10,7.1.10,1
7.2.11,7.2.11,1
7.3.12,7.3.12,1
8.1.13,8.1.13,1
9.1.14,9.1.14,1
9.2.15,9.2.15,1
9.3.16,9.3.16,1
9.4.17,9.4.17,1
9.5.18,9.5.18,1
10.1.19,10.1.19,1
10.2.20,10.2.20,1
10.3.21,10.3.21,1
10.4.22,10.4.22,1
11.1.23,11.1.23,1
11.2.24,11.2.24,1
11.3.25,11.3.25,1
11.4.26,11.4.26,1
12.1.27,12.1.27,1
13.1.28,13.1.28,1
13.2.29,13.2.29,1
13.3.30,13.3.30,1
14.1.31,14.1.31,1
15.1.32,15.1.32,1
15.2.33,15.2.33,1
15.3.34,15.3.34,1
15.4.35,15.4.35,1
15.5.36,15.5.36,1
16.1.37,16.1.37,1
16.2.38,16.2.38,1
16.3.39,16.3.39,1
16.4.40,16.4.40,1
17.1.41,17.1.41,1
17.2.42,17.2.42,1
17.3.43,17.3.43,1
18.1.44,18.1.44,1
19.1.45,19.1.45,1
20.1.46,20.1.46,1
20.2.47,20.2.47,1
20.3.48,20.3.48,1
21.1.49,21.1.49,1
21.2.50,21.2.50,1
21.3.51,21.3.51,1
21.4.52,21.4.52,1
21.5.53,21.5.53,1
23.1.54,23.1.54,1
24.1.55,24.1.55,1
24.2.56,24.2.56,1
24.3.57,24.3.57,1
24.4.58,24.4.58,1
24.5.59,24.5.59,1
24.6.60,24.6.60,1
24.7.61,24.7.61,1
25.1.62,25.1.62,1
25.2.63,25.2.63,1
25.3.64,25.3.64,1
25.4.65,25.4.65,1
25.5.66,25.5.66,1
26.1.67,26.1.67,1
27.1.68,27.1.68,1
27.2.69,27.2.69,1
27.3.70,27.3.70,1
27.4.71,27.4.71,1
27.5.72,27.5.72,1
27.6.73,27.6.73,1
27.7.74,27.7.74,1
27.8.75,27.8.75,1
27.9.76,27.9.76,1
27.10.77,27.10.77,1
27.11.78,27.11.78,1
