1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,1
5.1.9,5.1.9,1
6.1.10,6.1.10,1
6.2.11,6.2.11,1
6.3.12,6.3.12,1
7.1.13,7.1.13,0.997561
8.1.14,8.1.14,1
9.1.15,9.1.15,1
10.1.16,10.1.16,1
10.2.17,10.2.17,1
10.3.18,10.3.18,1
10.4.19,10.4.19,1
10.5.20,10.5.20,1
11.1.21,11.1.21,1
11.2.22,11.2.22,1
11.3.23,11.3.23,1
11.4.24,11.4.24,1
11.5.25,11.5.25,1
11.6.26,11.6.26,1
11.7.27,11.7.27,1
12.1.28,12.1.28,1
13.1.29,13.1.29,1
14.1.30,14.1.30,1
15.1.31,15.1.31,1
16.1.32,16.1.32,1
16.2.33,16.2.33,1
16.3.34,16.3.34,1
17.1.35,17.1.35,1
17.2.36,17.2.36,1
17.3.37,17.3.37,1
17.4.38,17.4.38,1
17.5.39,17.5.39,1
17.6.40,17.6.40,1
17.7.41,17.7.41,1
18.1.42,18.1.42,1
19.1.43,19.1.43,1
20.1.44,20.1.44,1
20.2.45,20.2.45,1
20.3.46,20.3.46,1
20.4.47,20.4.47,1
20.5.48,20.5.48,1
21.1.49,21.1.49,1
22.1.50,22.1.50,1
23.1.51,23.1.51,1
24.1.52,24.1.52,1
24.2.53,24.2.53,1
24.3.54,24.3.54,1
24.4.55,24.4.55,1
24.5.56,24.5.56,1
24.6.57,24.6.57,1
25.1.58,25.1.58,1
25.2.59,25.2.59,1
25.3.60,25.3.60,1
25.4.61,25.4.61,1
25.5.62,25.5.62,1
26.1.63,26.1.63,1
26.2.64,26.2.64,1
26.3.65,26.3.65,1
26.4.66,26.4.66,1
26.5.67,26.5.67,1
26.6.68,26.6.68,1
26.7.69,26.7.69,1
26.8.70,26.8.70,1
27.1.71,27.1.71,1
28.1.72,28.1.72,1
29.1.73,29.1.73,1
29.2.74,29.2.74,1
29.3.75,29.3.75,1
29.4.76,29.4.76,1
29.5.77,29.5.77,1
30.1.78,30.1.78,1
30.2.79,30.2.79,1
30.3.80,30.3.80,1
30.4.81,30.4.81,1
30.5.82,30.5.82,1
30.6.83,30.6.83,1
30.7.84,30.7.84,1
30.8.85,30.8.85,1
30.9.86,30.9.86,1
31.1.87,31.1.87,1
32.1.88,32.1.88,1
33.1.89,33.1.89,1
34.1.90,34.1.90,0.9904001
35.1.91,35.1.91,1
35.2.92,35.2.92,1
35.3.93,35.3.93,1
36.1.94,36.1.94,1
36.2.95,36.2.95,1
37.1.96,37.1.96,1
37.2.97,37.2.97,1
37.3.98,37.3.98,1
37.4.99,37.4.99,1
37.5.100,37.5.100,1
