_,41.2.87,0
_,41.3.88,0
_,42.1.89,0
_,42.2.90,0
_,42.3.91,0
_,43.1.92,0
_,43.2.93,0
_,44.1.94,0
_,44.2.95,0
_,44.3.96,0
_,46.12.112,0
_,46.18.118,0
_,46.19.119,0
_,46.20.120,0
_,46.21.121,0
_,46.22.122,0
_,46.23.123,0
_,46.24.124,0
_,46.25.125,0
1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
3.2.8,3.2.8,1
3.3.9,3.3.9,1
4.1.10,4.1.10,1
5.1.11,5.1.11,0.9869566
6.1.12,6.1.12,1
6.2.13,6.2.13,1
6.3.14,6.3.14,1
7.1.15,7.1.15,1
8.1.16,8.1.16,1
9.1.17,9.1.17,1
10.1.18,10.1.18,1
11.1.19,11.1.19,1
11.2.20,11.2.20,1
11.3.21,11.3.21,1
11.4.22,11.4.22,1
12.1.23,12.1.23,1
13.1.24,13.1.24,1
14.1.25,14.1.25,1
15.1.26,15.1.26,1
15.2.27,15.2.27,1
16.1.28,16.1.28,1
17.1.29,17.1.29,0.9769231
18.1.30,18.1.30,1
18.2.31,18.2.31,1
18.3.32,18.3.32,1
18.4.33,18.4.33,1
18.5.34,18.5.34,1
19.1.35,19.1.35,1
20.1.36,20.1.36,1
21.1.37,21.1.37,0.75513357
21.2.38,_,0
21.3.39,_,0
21.4.40,_,0
21.5.41,_,0
22.1.42,22.1.38,1
23.1.43,23.1.39,1
23.2.44,23.2.40,1
24.1.45,24.1.41,1
24.2.46,24.2.42,1
24.3.47,24.3.43,1
24.4.48,24.4.44,1
25.1.49,25.1.45,1
25.2.50,25.2.46,1
25.3.51,25.3.47,1
25.4.52,25.4.48,1
25.5.53,25.5.49,1
25.6.54,25.6.50,1
26.1.55,26.1.51,1
27.1.56,27.1.52,1
28.1.57,28.1.53,1
28.2.58,28.2.54,1
28.3.59,28.3.55,1
28.4.60,28.4.56,1
29.1.61,29.1.57,1
30.1.62,30.1.58,1
30.2.63,30.2.59,1
30.3.64,30.3.60,1
30.4.65,30.4.61,1
31.1.66,31.1.62,0.9760001
32.1.67,32.1.63,1
33.1.68,33.1.64,1
34.1.69,34.1.65,1
34.2.70,34.2.66,1
34.3.71,34.3.67,1
34.4.72,34.4.68,1
34.5.73,34.5.69,1
34.6.74,34.6.70,1
35.1.75,35.1.71,0.9454546
36.1.76,36.1.72,1
36.2.77,36.2.73,1
36.3.78,36.3.74,1
36.4.79,36.4.75,1
36.5.80,36.5.76,1
36.6.81,36.6.77,1
36.7.82,36.7.78,1
36.8.83,36.8.79,1
37.1.84,37.1.80,1
37.2.85,37.2.81,1
37.3.86,37.3.82,1
38.1.87,38.1.83,1
39.1.88,39.1.84,0.8904309
40.1.89,40.1.85,1
41.1.90,41.1.86,1
42.1.91,45.1.97,1
42.2.92,45.2.98,0.4824567
42.3.93,_,0
42.4.94,45.3.99,0.563166
42.5.95,_,0
42.6.96,45.4.100,1
43.1.97,46.1.101,1
43.2.98,46.2.102,1
43.3.99,46.3.103,1
43.4.100,46.4.104,1
43.5.101,46.5.105,1
43.6.102,46.6.106,1
43.7.103,46.7.107,1
43.8.104,46.8.108,1
43.9.105,46.9.109,1
43.10.106,46.10.110,1
43.11.107,46.11.111,1
43.12.108,46.13.113,1
43.13.109,46.14.114,1
43.14.110,46.15.115,1
43.15.111,46.16.116,1
43.16.112,46.17.117,1
43.17.113,_,0
43.18.114,_,0
44.1.115,47.1.126,1
44.2.116,47.2.127,1
44.3.117,47.3.128,1
44.4.118,47.4.129,1
44.5.119,47.5.130,1
44.6.120,47.6.131,1
44.7.121,47.7.132,1
44.8.122,47.8.133,1
44.9.123,47.9.134,1
44.10.124,47.10.135,1
44.11.125,47.11.136,1
44.12.126,47.12.137,1
44.13.127,47.13.138,1
44.14.128,47.14.139,1
44.15.129,47.15.140,1
44.16.130,47.16.141,1
44.17.131,47.17.142,1
44.18.132,47.18.143,1
44.19.133,47.19.144,1
44.20.134,47.20.145,1
44.21.135,47.21.146,1
44.22.136,47.22.147,1
44.23.137,47.23.148,1
44.24.138,47.24.149,1
44.25.139,47.25.150,1
44.26.140,47.26.151,1
44.27.141,47.27.152,1
44.28.142,47.28.153,1
44.29.143,47.29.154,1
44.30.144,47.30.155,1
44.31.145,47.31.156,1
44.32.146,47.32.157,1
44.33.147,47.33.158,1
44.34.148,_,0
44.35.149,47.35.160,1
44.36.150,47.34.159,0.66233146
44.37.151,47.36.161,1
44.38.152,47.37.162,1
45.1.153,48.1.163,1
46.1.154,49.1.164,1
46.2.155,49.2.165,1
46.3.156,49.3.166,1
46.4.157,49.4.167,1
46.5.158,49.5.168,1
46.6.159,49.6.169,1
46.7.160,49.7.170,1
