_,11.1.21,0
_,21.1.51,0
_,22.1.52,0
_,23.1.53,0
1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
4.2.5,4.2.5,1
4.3.6,4.3.6,1
5.1.7,5.1.7,1
6.1.8,6.1.8,1
6.2.9,6.2.9,1
6.3.10,6.3.10,1
6.4.11,6.4.11,1
6.5.12,6.5.12,1
7.1.13,7.1.13,1
7.2.14,7.2.14,1
7.3.15,7.3.15,1
8.1.16,8.1.16,1
9.1.17,9.1.17,1
9.2.18,9.2.18,1
9.3.19,9.3.19,0.87670743
10.1.20,_,0
11.1.21,_,0
12.1.22,10.1.20,1
13.1.23,_,0
13.2.24,11.2.22,1
13.3.25,11.3.23,0.7484625
14.1.26,12.1.24,1
15.1.27,13.1.25,1
16.1.28,14.1.26,1
17.1.29,15.1.27,1
18.1.30,16.1.28,1
19.1.31,17.1.29,0.98636365
19.2.32,17.2.30,1
19.3.33,17.3.31,1
19.4.34,17.4.32,1
19.5.35,17.5.33,1
19.6.36,17.6.34,0.9582217
19.7.37,17.7.35,1
19.8.38,17.8.36,0.91183925
19.9.39,17.9.37,1
19.10.40,17.10.38,0.9009167
20.1.41,18.1.39,1
21.1.42,19.1.40,1
22.1.43,20.1.41,1
22.2.44,20.2.42,1
22.3.45,20.3.43,1
22.4.46,20.4.44,1
22.5.47,20.5.45,1
22.6.48,20.6.46,1
22.7.49,20.7.47,1
22.8.50,20.8.48,1
22.9.51,20.9.49,1
22.10.52,20.10.50,1
23.1.53,_,0
24.1.54,_,0
24.2.55,_,0
24.3.56,_,0
24.4.57,_,0
24.5.58,24.2.55,1
24.6.59,_,0
24.7.60,_,0
24.8.61,_,0
25.1.62,_,0
26.1.63,_,0
27.1.64,25.1.66,0.78863466
28.1.65,26.1.67,0.75313187
28.2.66,_,0
28.3.67,26.3.69,0.8992946
28.4.68,_,0
28.5.69,26.5.71,0.9919192
28.6.70,26.6.72,0.9981777
28.7.71,26.7.73,0.9982103
28.8.72,26.8.74,0.97981715
28.9.73,26.9.75,0.981977
28.10.74,26.10.76,0.9564928
28.11.75,26.11.77,0.95631444
28.12.76,26.12.78,0.65257645
29.1.77,_,0
30.1.78,24.1.54,0.5451075
30.2.79,_,0
30.3.80,24.3.56,1
30.4.81,24.4.57,1
30.5.82,24.5.58,1
30.6.83,24.6.59,1
30.7.84,24.7.60,1
30.8.85,24.8.61,1
30.9.86,24.9.62,1
30.10.87,24.10.63,1
30.11.88,24.11.64,1
30.12.89,24.12.65,1
31.1.90,_,0
32.1.91,_,0
32.2.92,_,0
32.3.93,_,0
32.4.94,_,0
32.5.95,_,0
32.6.96,_,0
32.7.97,_,0
32.8.98,_,0
32.9.99,_,0
32.10.100,_,0
32.11.101,_,0
32.12.102,_,0
32.13.103,_,0
32.14.104,_,0
32.15.105,_,0
32.16.106,_,0
32.17.107,_,0
32.18.108,_,0
33.1.109,_,0
34.1.110,_,0
34.2.111,_,0
34.3.112,_,0
34.4.113,_,0
34.5.114,_,0
34.6.115,_,0
34.7.116,_,0
34.8.117,_,0
34.9.118,_,0
34.10.119,_,0
34.11.120,_,0
34.12.121,_,0
34.13.122,_,0
34.14.123,_,0
34.15.124,_,0
34.16.125,_,0
34.17.126,_,0
34.18.127,_,0
34.19.128,_,0
35.1.129,_,0
35.2.130,_,0
35.3.131,_,0
35.4.132,_,0
36.1.133,_,0
37.1.134,_,0
38.1.135,_,0
