1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,0.8145695
3.2.4,3.2.4,1
3.3.5,3.3.5,1
3.4.6,3.4.6,1
3.5.7,3.5.7,0.7926266
3.6.8,3.6.8,1
3.7.9,3.7.9,1
3.8.10,3.8.10,1
3.9.11,3.9.11,0.92892265
3.10.12,3.10.12,1
3.11.13,3.11.13,0.9828851
3.12.14,3.12.14,1
3.13.15,3.13.15,1
4.1.16,4.1.16,1
5.1.17,5.1.17,1
6.1.18,6.1.18,1
7.1.19,7.1.19,0.89743584
7.2.20,7.2.20,1
7.3.21,7.3.21,1
8.1.22,8.1.22,1
9.1.23,11.1.26,0.77298003
10.1.24,9.1.23,1
11.1.25,10.1.24,0.95575756
11.2.26,10.2.25,1
12.1.27,12.1.27,0.8849925
13.1.28,13.1.28,1
13.2.29,13.2.29,1
13.3.30,13.3.30,1
14.1.31,14.1.31,0.82407945
14.2.32,14.2.32,1
14.3.33,14.3.33,1
14.4.34,14.4.34,1
14.5.35,14.5.35,0.92464536
14.6.36,14.6.36,1
14.7.37,14.7.37,1
14.8.38,14.8.38,1
15.1.39,15.1.39,1
16.1.40,16.1.40,1
17.1.41,17.1.41,1
17.2.42,17.2.42,1
17.3.43,17.3.43,1
18.1.44,18.1.44,1
19.1.45,19.1.45,1
20.1.46,20.1.46,1
21.1.47,21.1.47,1
21.2.48,21.2.48,1
21.3.49,21.3.49,1
21.4.50,21.4.50,1
21.5.51,21.5.51,1
21.6.52,21.6.52,1
22.1.53,22.1.53,1
23.1.54,23.1.54,0.79
24.1.55,24.1.55,1
25.1.56,25.1.56,1
25.2.57,25.2.57,1
25.3.58,25.3.58,1
25.4.59,25.4.59,1
25.5.60,25.5.60,1
25.6.61,25.6.61,1
25.7.62,25.7.62,1
25.8.63,25.8.63,1
25.9.64,25.9.64,1
25.10.65,25.10.65,1
25.11.66,25.11.66,1
26.1.67,26.1.67,1
27.1.68,27.1.68,1
27.2.69,27.2.69,1
27.3.70,27.3.70,1
28.1.71,28.1.71,1
29.1.72,29.1.72,1
30.1.73,30.1.73,1
30.2.74,30.2.74,1
30.3.75,30.3.75,1
31.1.76,31.1.76,1
32.1.77,32.1.77,1
32.2.78,32.2.78,1
32.3.79,32.3.79,1
32.4.80,32.4.80,1
33.1.81,33.1.81,1
34.1.82,34.1.82,1
35.1.83,35.1.83,1
36.1.84,36.1.84,1
37.1.85,37.1.85,1
37.2.86,37.2.86,1
38.1.87,38.1.87,1
38.2.88,38.2.88,1
38.3.89,38.3.89,1
39.1.90,39.1.90,1
40.1.91,40.1.91,1
40.2.92,40.2.92,1
40.3.93,40.3.93,1
41.1.94,41.1.94,1
42.1.95,42.1.95,1
42.2.96,42.2.96,1
43.1.97,43.1.97,1
44.1.98,44.1.98,1
45.1.99,45.1.99,1
46.1.100,46.1.100,1
47.1.101,47.1.101,1
48.1.102,48.1.102,1
49.1.103,49.1.103,1
50.1.104,50.1.104,1
50.2.105,50.2.105,1
51.1.106,51.1.106,1
52.1.107,52.1.107,1
53.1.108,53.1.108,1
54.1.109,54.1.109,1
54.2.110,54.2.110,1
54.3.111,54.3.111,1
55.1.112,55.1.112,1
55.2.113,55.2.113,1
55.3.114,55.3.114,1
55.4.115,55.4.115,1
55.5.116,55.5.116,1
56.1.117,56.1.117,1
56.2.118,56.2.118,1
56.3.119,56.3.119,1
57.1.120,57.1.120,1
58.1.121,58.1.121,1
58.2.122,58.2.122,1
58.3.123,58.3.123,1
59.1.124,59.1.124,1
60.1.125,60.1.125,1
60.2.126,60.2.126,1
60.3.127,60.3.127,1
60.4.128,60.4.128,1
60.5.129,60.5.129,1
60.6.130,60.6.130,1
61.1.131,61.1.131,1
62.1.132,62.1.132,1
63.1.133,63.1.133,1
64.1.134,_,0
65.1.135,_,0
66.1.136,_,0
67.1.137,64.1.134,1
68.1.138,65.1.135,1
69.1.139,66.1.136,1
70.1.140,67.1.137,1
70.2.141,67.2.138,1
70.3.142,67.3.139,1
70.4.143,67.4.140,1
70.5.144,67.5.141,1
70.6.145,67.6.142,1
70.7.146,67.7.143,1
70.8.147,67.8.144,1
70.9.148,67.9.145,1
70.10.149,67.10.146,1
70.11.150,67.11.147,1
70.12.151,67.12.148,1
70.13.152,67.13.149,1
70.14.153,67.14.150,1
71.1.154,68.1.151,1
71.2.155,68.2.152,1
71.3.156,68.3.153,1
71.4.157,68.4.154,1
72.1.158,69.1.155,1
73.1.159,70.1.156,1
74.1.160,71.1.157,1
75.1.161,72.1.158,1
75.2.162,72.2.159,1
75.3.163,72.3.160,1
75.4.164,72.4.161,1
75.5.165,72.5.162,1
76.1.166,73.1.163,1
76.2.167,73.2.164,1
76.3.168,73.3.165,1
76.4.169,73.4.166,1
77.1.170,74.1.167,1
78.1.171,75.1.168,1
78.2.172,75.2.169,1
78.3.173,75.3.170,1
78.4.174,75.4.171,1
78.5.175,75.5.172,1
78.6.176,75.6.173,1
78.7.177,75.7.174,1
78.8.178,75.8.175,1
78.9.179,75.9.176,1
79.1.180,76.1.177,1
79.2.181,76.2.178,1
79.3.182,76.3.179,1
79.4.183,76.4.180,1
80.1.184,77.1.181,1
81.1.185,78.1.182,1
82.1.186,79.1.183,1
83.1.187,80.1.184,1
83.2.188,80.2.185,1
83.3.189,80.3.186,1
83.4.190,80.4.187,1
83.5.191,80.5.188,1
83.6.192,80.6.189,1
83.7.193,80.7.190,1
84.1.194,81.1.191,1
85.1.195,82.1.192,1
85.2.196,82.2.193,1
86.1.197,83.1.194,1
87.1.198,84.1.195,1
88.1.199,85.1.196,1
88.2.200,85.2.197,1
88.3.201,85.3.198,1
88.4.202,85.4.199,1
88.5.203,85.5.200,1
88.6.204,85.6.201,1
89.1.205,86.1.202,1
89.2.206,86.2.203,1
89.3.207,86.3.204,1
89.4.208,86.4.205,1
89.5.209,86.5.206,1
89.6.210,86.6.207,1
89.7.211,86.7.208,1
90.1.212,87.1.209,1
91.1.213,88.1.210,1
92.1.214,89.1.211,1
93.1.215,90.1.212,1
94.1.216,91.1.213,1
94.2.217,91.2.214,1
94.3.218,91.3.215,1
94.4.219,91.4.216,1
94.5.220,91.5.217,1
94.6.221,91.6.218,1
94.7.222,91.7.219,1
94.8.223,91.8.220,1
94.9.224,91.9.221,1
95.1.225,92.1.222,1
96.1.226,93.1.223,1
96.2.227,93.2.224,1
96.3.228,93.3.225,1
96.4.229,93.4.226,1
96.5.230,93.5.227,1
96.6.231,93.6.228,1
96.7.232,93.7.229,1
97.1.233,94.1.230,1
98.1.234,95.1.231,1
99.1.235,96.1.232,1
100.1.236,97.1.233,1
100.2.237,97.2.234,1
100.3.238,97.3.235,1
100.4.239,97.4.236,1
100.5.240,97.5.237,1
100.6.241,97.6.238,1
100.7.242,97.7.239,1
