1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,1
5.1.9,5.1.9,1
6.1.10,6.1.10,1
6.2.11,6.2.11,1
6.3.12,6.3.12,1
6.4.13,6.4.13,1
6.5.14,6.5.14,1
7.1.15,7.1.15,0.96609664
7.2.16,7.2.16,1
7.3.17,7.3.17,0.9863564
8.1.18,8.1.18,1
8.2.19,8.2.19,1
8.3.20,8.3.20,1
8.4.21,8.4.21,1
9.1.22,9.1.22,1
9.2.23,9.2.23,1
9.3.24,9.3.24,1
9.4.25,9.4.25,1
10.1.26,10.1.26,1
10.2.27,10.2.27,1
10.3.28,10.3.28,1
10.4.29,10.4.29,1
11.1.30,11.1.30,1
12.1.31,12.1.31,1
13.1.32,_,0
14.1.33,13.1.32,1
15.1.34,14.1.33,1
15.2.35,14.2.34,1
15.3.36,14.3.35,1
16.1.37,15.1.36,1
17.1.38,16.1.37,1
18.1.39,17.1.38,1
19.1.40,18.1.39,1
19.2.41,18.2.40,1
20.1.42,19.1.41,1
20.2.43,19.2.42,1
20.3.44,19.3.43,1
21.1.45,20.1.44,1
21.2.46,20.2.45,1
22.1.47,21.1.46,1
23.1.48,22.1.47,1
23.2.49,22.2.48,1
24.1.50,23.1.49,1
25.1.51,24.1.50,1
25.2.52,24.2.51,1
25.3.53,24.3.52,1
25.4.54,24.4.53,1
25.5.55,24.5.54,1
25.6.56,24.6.55,1
25.7.57,24.7.56,1
26.1.58,25.1.57,1
26.2.59,25.2.58,1
27.1.60,26.1.59,1
28.1.61,27.1.60,1
28.2.62,27.2.61,1
29.1.63,28.1.62,1
29.2.64,28.2.63,1
29.3.65,28.3.64,1
30.1.66,29.1.65,1
30.2.67,29.2.66,1
31.1.68,30.1.67,0.96470594
32.1.69,31.1.68,1
33.1.70,32.1.69,1
33.2.71,32.2.70,1
34.1.72,33.1.71,1
34.2.73,33.2.72,1
34.3.74,33.3.73,1
35.1.75,34.1.74,1
35.2.76,34.2.75,1
35.3.77,34.3.76,1
36.1.78,35.1.77,1
36.2.79,35.2.78,1
36.3.80,35.3.79,1
36.4.81,35.4.80,1
37.1.82,36.1.81,1
37.2.83,36.2.82,1
37.3.84,36.3.83,1
37.4.85,36.4.84,1
37.5.86,36.5.85,1
38.1.87,37.1.86,1
38.2.88,37.2.87,1
38.3.89,37.3.88,1
39.1.90,38.1.89,1
40.1.91,39.1.90,1
40.2.92,39.2.91,1
41.1.93,40.1.92,1
41.2.94,40.2.93,1
41.3.95,40.3.94,1
41.4.96,40.4.95,1
41.5.97,40.5.96,1
41.6.98,40.6.97,1
42.1.99,41.1.98,1
42.2.100,41.2.99,1
43.1.101,42.1.100,1
43.2.102,42.2.101,1
43.3.103,42.3.102,1
43.4.104,42.4.103,1
44.1.105,43.1.104,1
45.1.106,44.1.105,1
45.2.107,44.2.106,1
45.3.108,44.3.107,1
46.1.109,45.1.108,1
47.1.110,46.1.109,1
48.1.111,47.1.110,1
48.2.112,47.2.111,1
48.3.113,47.3.112,1
49.1.114,48.1.113,1
50.1.115,49.1.114,1
51.1.116,50.1.115,1
52.1.117,51.1.116,1
53.1.118,52.1.117,1
54.1.119,53.1.118,1
55.1.120,54.1.119,1
55.2.121,54.2.120,1
56.1.122,55.1.121,1
57.1.123,56.1.122,1
58.1.124,57.1.123,1
