1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,1
5.1.9,5.1.9,1
6.1.10,6.1.10,1
6.2.11,6.2.11,1
6.3.12,6.3.12,1
7.1.13,7.1.13,1
7.2.14,7.2.14,1
7.3.15,7.3.15,1
7.4.16,7.4.16,1
7.5.17,7.5.17,1
8.1.18,8.1.18,1
8.2.19,8.2.19,1
8.3.20,8.3.20,1
8.4.21,8.4.21,1
8.5.22,8.5.22,1
8.6.23,8.6.23,1
8.7.24,8.7.24,1
8.8.25,8.8.25,1
9.1.26,9.1.26,1
9.2.27,9.2.27,1
9.3.28,9.3.28,1
9.4.29,9.4.29,1
9.5.30,9.5.30,1
9.6.31,9.6.31,1
9.7.32,9.7.32,1
9.8.33,9.8.33,1
9.9.34,9.9.34,1
10.1.35,10.1.35,1
11.1.36,11.1.36,1
12.1.37,12.1.37,1
12.2.38,12.2.38,1
12.3.39,12.3.39,1
13.1.40,13.1.40,1
13.2.41,13.2.41,1
13.3.42,13.3.42,1
13.4.43,13.4.43,1
13.5.44,13.5.44,1
13.6.45,13.6.45,1
14.1.46,14.1.46,1
15.1.47,15.1.47,1
16.1.48,16.1.48,1
16.2.49,16.2.49,1
16.3.50,16.3.50,1
17.1.51,17.1.51,1
17.2.52,17.2.52,1
17.3.53,17.3.53,1
18.1.54,18.1.54,1
19.1.55,19.1.55,1
19.2.56,19.2.56,1
19.3.57,19.3.57,1
20.1.58,20.1.58,1
20.2.59,20.2.59,1
20.3.60,20.3.60,1
20.4.61,20.4.61,1
20.5.62,20.5.62,1
20.6.63,20.6.63,1
20.7.64,20.7.64,1
21.1.65,21.1.65,1
22.1.66,22.1.66,1
