1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
6.1.6,6.1.6,1
7.1.7,7.1.7,1
8.1.8,8.1.8,1
9.1.9,9.1.9,1
10.1.10,10.1.10,1
11.1.11,11.1.11,1
12.1.12,12.1.12,1
13.1.13,13.1.13,1
14.1.14,14.1.14,1
15.1.15,15.1.15,1
16.1.16,16.1.16,1
17.1.17,17.1.17,1
18.1.18,18.1.18,1
19.1.19,19.1.19,1
20.1.20,20.1.20,1
21.1.21,21.1.21,1
22.1.22,22.1.22,1
23.1.23,23.1.23,1
24.1.24,24.1.24,1
25.1.25,25.1.25,1
26.1.26,26.1.26,1
27.1.27,27.1.27,1
28.1.28,28.1.28,0.96727276
29.1.29,29.1.29,1
30.1.30,30.1.30,1
31.1.31,31.1.31,1
32.1.32,32.1.32,1
33.1.33,33.1.33,1
34.1.34,34.1.34,1
35.1.35,35.1.35,1
36.1.36,36.1.36,1
37.1.37,37.1.37,1
38.1.38,38.1.38,1
39.1.39,39.1.39,1
40.1.40,40.1.40,1
41.1.41,41.1.41,1
42.1.42,42.1.42,1
43.1.43,43.1.43,1
43.2.44,43.2.44,1
43.3.45,43.3.45,1
44.1.46,44.1.46,1
45.1.47,45.1.47,1
46.1.48,46.1.48,1
47.1.49,47.1.49,1
48.1.50,48.1.50,1
49.1.51,49.1.51,1
50.1.52,50.1.52,1
51.1.53,51.1.53,1
52.1.54,52.1.54,1
53.1.55,53.1.55,1
54.1.56,54.1.56,1
54.2.57,54.2.57,1
54.3.58,54.3.58,1
