1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
5.2.6,5.2.6,1
5.3.7,5.3.7,1
5.4.8,5.4.8,1
6.1.9,6.1.9,1
6.2.10,6.2.10,1
6.3.11,6.3.11,1
6.4.12,6.4.12,1
7.1.13,7.1.13,1
7.2.14,7.2.14,1
7.3.15,7.3.15,1
7.4.16,7.4.16,1
7.5.17,7.5.17,1
7.6.18,7.6.18,1
8.1.19,8.1.19,1
8.2.20,8.2.20,1
8.3.21,8.3.21,1
8.4.22,8.4.22,1
9.1.23,9.1.23,1
10.1.24,10.1.24,1
10.2.25,10.2.25,1
11.1.26,11.1.26,1
11.2.27,11.2.27,1
12.1.28,12.1.28,1
12.2.29,12.2.29,1
12.3.30,12.3.30,1
12.4.31,12.4.31,1
12.5.32,12.5.32,1
13.1.33,13.1.33,1
13.2.34,13.2.34,1
13.3.35,13.3.35,1
13.4.36,13.4.36,1
13.5.37,13.5.37,1
14.1.38,14.1.38,1
15.1.39,15.1.39,1
15.2.40,15.2.40,1
16.1.41,16.1.41,1
17.1.42,17.1.42,1
18.1.43,18.1.43,1
19.1.44,19.1.44,1
19.2.45,19.2.45,1
20.1.46,20.1.46,1
20.2.47,20.2.47,1
21.1.48,21.1.48,1
22.1.49,22.1.49,1
23.1.50,23.1.50,1
23.2.51,23.2.51,1
24.1.52,24.1.52,1
24.2.53,24.2.53,1
24.3.54,24.3.54,1
25.1.55,25.1.55,1
25.2.56,25.2.56,1
26.1.57,26.1.57,1
27.1.58,27.1.58,1
27.2.59,27.2.59,1
28.1.60,28.1.60,1
29.1.61,29.1.61,1
30.1.62,30.1.62,1
30.2.63,30.2.63,1
31.1.64,31.1.64,1
31.2.65,31.2.65,1
32.1.66,32.1.66,1
33.1.67,33.1.67,1
33.2.68,33.2.68,1
33.3.69,33.3.69,1
33.4.70,33.4.70,1
33.5.71,33.5.71,1
34.1.72,34.1.72,1
34.2.73,34.2.73,1
34.3.74,34.3.74,1
34.4.75,34.4.75,1
34.5.76,34.5.76,1
34.6.77,34.6.77,1
35.1.78,35.1.78,1
35.2.79,35.2.79,1
35.3.80,35.3.80,1
35.4.81,35.4.81,1
36.1.82,36.1.82,1
37.1.83,37.1.83,1
37.2.84,37.2.84,1
37.3.85,37.3.85,1
37.4.86,37.4.86,1
37.5.87,37.5.87,1
37.6.88,37.6.88,1
38.1.89,38.1.89,1
38.2.90,38.2.90,1
38.3.91,38.3.91,1
38.4.92,38.4.92,1
38.5.93,38.5.93,1
38.6.94,38.6.94,1
38.7.95,38.7.95,1
38.8.96,38.8.96,1
39.1.97,39.1.97,1
39.2.98,39.2.98,1
39.3.99,39.3.99,1
40.1.100,40.1.100,1
41.1.101,41.1.101,1
42.1.102,42.1.102,1
43.1.103,43.1.103,1
43.2.104,43.2.104,1
44.1.105,44.1.105,1
45.1.106,45.1.106,1
45.2.107,45.2.107,1
45.3.108,45.3.108,1
45.4.109,45.4.109,1
46.1.110,46.1.110,1
47.1.111,47.1.111,1
47.2.112,47.2.112,1
47.3.113,47.3.113,1
47.4.114,47.4.114,1
