1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
5.2.6,5.2.6,1
5.3.7,5.3.7,1
6.1.8,6.1.8,1
7.1.9,7.1.9,1
8.1.10,8.1.10,1
9.1.11,9.1.11,1
9.2.12,9.2.12,1
9.3.13,9.3.13,1
9.4.14,9.4.14,1
9.5.15,9.5.15,1
10.1.16,10.1.16,1
10.2.17,10.2.17,1
10.3.18,10.3.18,1
10.4.19,10.4.19,1
10.5.20,10.5.20,1
10.6.21,10.6.21,1
11.1.22,11.1.22,1
12.1.23,12.1.23,1
13.1.24,13.1.24,1
14.1.25,14.1.25,1
15.1.26,15.1.26,1
15.2.27,15.2.27,1
15.3.28,15.3.28,1
16.1.29,16.1.29,1
16.2.30,16.2.30,1
16.3.31,16.3.31,1
16.4.32,16.4.32,1
16.5.33,16.5.33,1
16.6.34,16.6.34,1
17.1.35,17.1.35,1
18.1.36,18.1.36,1
19.1.37,19.1.37,0.89647985
19.2.38,19.2.38,1
19.3.39,19.3.39,0.9626901
19.4.40,19.4.40,1
19.5.41,19.5.41,1
20.1.42,20.1.42,1
21.1.43,21.1.43,1
22.1.44,22.1.44,1
23.1.45,23.1.45,1
24.1.46,24.1.46,1
24.2.47,24.2.47,1
24.3.48,24.3.48,1
24.4.49,24.4.49,1
24.5.50,24.5.50,1
25.1.51,25.1.51,1
25.2.52,25.2.52,1
25.3.53,25.3.53,1
25.4.54,25.4.54,1
25.5.55,25.5.55,1
25.6.56,25.6.56,1
25.7.57,25.7.57,1
25.8.58,25.8.58,1
26.1.59,26.1.59,1
27.1.60,27.1.60,1
28.1.61,_,0
28.2.62,28.1.61,1
28.3.63,_,0
28.4.64,28.2.62,1
28.5.65,28.3.63,1
28.6.66,28.4.64,1
28.7.67,_,0
28.8.68,28.5.65,1
28.9.69,28.6.66,1
28.10.70,28.7.67,1
29.1.71,29.1.68,1
30.1.72,30.1.69,1
31.1.73,31.1.70,1
31.2.74,31.2.71,1
31.3.75,31.3.72,1
32.1.76,32.1.73,1
32.2.77,32.2.74,1
32.3.78,32.3.75,1
32.4.79,32.4.76,1
32.5.80,32.5.77,1
33.1.81,33.1.78,1
34.1.82,34.1.79,1
34.2.83,34.2.80,1
34.3.84,34.3.81,1
34.4.85,34.4.82,1
34.5.86,34.5.83,1
