_,5.1.15,0
_,7.1.47,0
_,8.1.49,0
1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
3.2.8,3.2.8,1
3.3.9,3.3.9,1
4.1.10,4.1.10,1
4.2.11,4.2.11,1
4.3.12,4.3.12,1
4.4.13,4.4.13,1
4.5.14,4.5.14,1
5.1.15,6.1.16,1
5.2.16,6.2.17,1
5.3.17,6.3.18,1
6.1.18,_,0
7.1.19,6.4.19,1
7.2.20,6.5.20,1
7.3.21,6.6.21,1
7.4.22,6.7.22,1
7.5.23,6.8.23,1
7.6.24,6.9.24,1
7.7.25,6.10.25,1
7.8.26,6.11.26,1
7.9.27,6.12.27,1
7.10.28,6.13.28,1
7.11.29,6.14.29,1
7.12.30,6.15.30,1
7.13.31,6.16.31,1
7.14.32,6.17.32,1
7.15.33,6.18.33,1
7.16.34,6.19.34,1
7.17.35,6.20.35,1
7.18.36,6.21.36,1
7.19.37,6.22.37,1
7.20.38,6.23.38,1
7.21.39,6.24.39,1
7.22.40,6.25.40,1
7.23.41,6.26.41,1
7.24.42,6.27.42,1
7.25.43,6.28.43,1
7.26.44,6.29.44,1
7.27.45,6.30.45,1
7.28.46,6.31.46,0.91158414
7.29.47,_,0
8.1.48,_,0
9.1.49,7.2.48,1
10.1.50,_,0
11.1.51,_,0
11.2.52,_,0
11.3.53,_,0
11.4.54,_,0
11.5.55,_,0
11.6.56,_,0
11.7.57,_,0
11.8.58,_,0
11.9.59,_,0
11.10.60,_,0
11.11.61,_,0
12.1.62,8.2.50,1
12.2.63,8.3.51,1
12.3.64,8.4.52,1
12.4.65,8.5.53,1
12.5.66,8.6.54,1
12.6.67,8.7.55,1
12.7.68,8.8.56,1
12.8.69,8.9.57,1
12.9.70,8.10.58,1
12.10.71,8.11.59,1
12.11.72,8.12.60,1
12.12.73,8.13.61,1
12.13.74,8.14.62,1
12.14.75,8.15.63,1
12.15.76,8.16.64,1
12.16.77,8.17.65,1
12.17.78,8.18.66,1
12.18.79,8.19.67,1
12.19.80,8.20.68,1
12.20.81,8.21.69,1
12.21.82,8.22.70,1
12.22.83,8.23.71,0.94186366
12.23.84,_,0
13.1.85,_,0
14.1.86,9.1.72,1
15.1.87,_,0
16.1.88,_,0
17.1.89,_,0
17.2.90,_,0
17.3.91,_,0
17.4.92,_,0
17.5.93,_,0
17.6.94,_,0
17.7.95,_,0
17.8.96,_,0
17.9.97,_,0
17.10.98,_,0
18.1.99,_,0
19.1.100,10.1.73,1
20.1.101,_,0
21.1.102,_,0
21.2.103,_,0
21.3.104,_,0
21.4.105,_,0
21.5.106,_,0
21.6.107,_,0
21.7.108,_,0
21.8.109,_,0
21.9.110,_,0
21.10.111,_,0
21.11.112,_,0
21.12.113,_,0
21.13.114,_,0
21.14.115,_,0
21.15.116,_,0
21.16.117,_,0
21.17.118,_,0
22.1.119,_,0
22.2.120,_,0
22.3.121,_,0
22.4.122,_,0
22.5.123,_,0
22.6.124,_,0
22.7.125,_,0
22.8.126,_,0
22.9.127,_,0
22.10.128,_,0
22.11.129,_,0
22.12.130,_,0
22.13.131,_,0
22.14.132,_,0
22.15.133,_,0
22.16.134,_,0
22.17.135,_,0
22.18.136,_,0
22.19.137,_,0
22.20.138,_,0
22.21.139,_,0
22.22.140,_,0
22.23.141,_,0
22.24.142,_,0
23.1.143,_,0
24.1.144,_,0
24.2.145,_,0
24.3.146,_,0
24.4.147,_,0
24.5.148,_,0
24.6.149,_,0
24.7.150,_,0
24.8.151,_,0
24.9.152,_,0
24.10.153,_,0
24.11.154,_,0
25.1.155,_,0
25.2.156,_,0
25.3.157,_,0
25.4.158,_,0
25.5.159,_,0
25.6.160,_,0
25.7.161,_,0
25.8.162,_,0
25.9.163,_,0
25.10.164,_,0
25.11.165,_,0
25.12.166,_,0
25.13.167,_,0
25.14.168,_,0
26.1.169,_,0
27.1.170,_,0
27.2.171,_,0
27.3.172,_,0
27.4.173,_,0
27.5.174,_,0
27.6.175,_,0
27.7.176,_,0
27.8.177,_,0
27.9.178,_,0
27.10.179,_,0
27.11.180,_,0
27.12.181,_,0
27.13.182,_,0
28.1.183,_,0
28.2.184,_,0
28.3.185,_,0
28.4.186,_,0
28.5.187,_,0
28.6.188,_,0
28.7.189,_,0
28.8.190,_,0
28.9.191,_,0
28.10.192,_,0
28.11.193,_,0
28.12.194,_,0
28.13.195,_,0
28.14.196,_,0
28.15.197,_,0
28.16.198,_,0
28.17.199,_,0
28.18.200,_,0
28.19.201,_,0
28.20.202,_,0
28.21.203,_,0
28.22.204,_,0
28.23.205,_,0
28.24.206,_,0
28.25.207,_,0
28.26.208,_,0
28.27.209,_,0
28.28.210,_,0
29.1.211,_,0
30.1.212,11.1.74,1
