1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,1
5.1.9,5.1.9,1
5.2.10,5.2.10,1
5.3.11,5.3.11,1
6.1.12,6.1.12,1
7.1.13,7.1.13,1
8.1.14,8.1.14,1
9.1.15,9.1.15,1
10.1.16,10.1.16,1
10.2.17,10.2.17,1
10.3.18,10.3.18,1
10.4.19,10.4.19,1
10.5.20,10.5.20,1
10.6.21,10.6.21,1
10.7.22,10.7.22,1
10.8.23,10.8.23,1
11.1.24,11.1.24,1
11.2.25,11.2.25,1
11.3.26,11.3.26,1
11.4.27,11.4.27,1
11.5.28,11.5.28,1
11.6.29,11.6.29,1
11.7.30,11.7.30,1
11.8.31,11.8.31,1
11.9.32,11.9.32,1
12.1.33,12.1.33,1
13.1.34,13.1.34,1
13.2.35,13.2.35,1
13.3.36,13.3.36,1
13.4.37,13.4.37,1
13.5.38,13.5.38,1
13.6.39,13.6.39,1
14.1.40,14.1.40,1
14.2.41,14.2.41,1
14.3.42,14.3.42,1
14.4.43,14.4.43,1
14.5.44,14.5.44,1
14.6.45,14.6.45,1
14.7.46,14.7.46,1
15.1.47,15.1.47,1
16.1.48,16.1.48,1
17.1.49,17.1.49,1
18.1.50,18.1.50,1
19.1.51,19.1.51,1
19.2.52,19.2.52,1
19.3.53,19.3.53,1
19.4.54,19.4.54,1
19.5.55,19.5.55,1
20.1.56,20.1.56,1
21.1.57,21.1.57,1
21.2.58,21.2.58,1
21.3.59,_,0
21.4.60,21.3.59,1
21.5.61,21.4.60,1
21.6.62,_,0
21.7.63,21.5.61,1
21.8.64,21.6.62,1
22.1.65,22.1.63,1
23.1.66,23.1.64,1
23.2.67,23.2.65,1
23.3.68,23.3.66,1
23.4.69,23.4.67,1
23.5.70,23.5.68,1
24.1.71,24.1.69,1
25.1.72,25.1.70,1
25.2.73,25.2.71,1
25.3.74,25.3.72,1
25.4.75,25.4.73,1
26.1.76,26.1.74,1
27.1.77,27.1.75,1
28.1.78,28.1.76,1
29.1.79,29.1.77,1
30.1.80,30.1.78,1
31.1.81,31.1.79,1
32.1.82,32.1.80,1
32.2.83,32.2.81,1
32.3.84,32.3.82,1
32.4.85,32.4.83,1
32.5.86,32.5.84,1
33.1.87,33.1.85,1
33.2.88,33.2.86,1
33.3.89,_,0
33.4.90,33.3.87,1
33.5.91,_,0
34.1.92,34.1.88,1
35.1.93,35.1.89,1
35.2.94,35.2.90,1
35.3.95,35.3.91,1
35.4.96,35.4.92,1
35.5.97,35.5.93,1
36.1.98,36.1.94,1
37.1.99,37.1.95,1
37.2.100,37.2.96,1
37.3.101,37.3.97,1
37.4.102,37.4.98,1
38.1.103,38.1.99,1
38.2.104,38.2.100,1
38.3.105,38.3.101,1
39.1.106,39.1.102,1
39.2.107,39.2.103,1
39.3.108,39.3.104,1
39.4.109,39.4.105,1
39.5.110,39.5.106,1
40.1.111,40.1.107,1
41.1.112,41.1.108,1
42.1.113,42.1.109,1
43.1.114,43.1.110,1
43.2.115,43.2.111,1
43.3.116,43.3.112,1
43.4.117,43.4.113,1
43.5.118,43.5.114,1
43.6.119,43.6.115,1
43.7.120,43.7.116,1
43.8.121,43.8.117,1
43.9.122,43.9.118,1
43.10.123,43.10.119,1
43.11.124,43.11.120,1
44.1.125,44.1.121,1
44.2.126,44.2.122,1
44.3.127,44.3.123,1
45.1.128,45.1.124,1
46.1.129,46.1.125,1
46.2.130,46.2.126,1
46.3.131,46.3.127,1
47.1.132,47.1.128,1
47.2.133,47.2.129,1
48.1.134,48.1.130,1
48.2.135,48.2.131,1
48.3.136,48.3.132,1
48.4.137,48.4.133,1
48.5.138,48.5.134,1
49.1.139,49.1.135,1
