1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,1
5.1.9,5.1.9,1
5.2.10,5.2.10,1
5.3.11,5.3.11,1
5.4.12,5.4.12,1
5.5.13,5.5.13,1
6.1.14,6.1.14,1
6.2.15,6.2.15,1
6.3.16,6.3.16,1
7.1.17,7.1.17,1
8.1.18,8.1.18,1
8.2.19,_,0
8.3.20,8.2.19,1
8.4.21,8.3.20,1
9.1.22,9.1.21,1
10.1.23,10.1.22,1
11.1.24,11.1.23,1
11.2.25,11.2.24,1
12.1.26,12.1.25,1
12.2.27,12.2.26,1
12.3.28,12.3.27,1
12.4.29,12.4.28,1
12.5.30,12.5.29,1
12.6.31,12.6.30,1
13.1.32,13.1.31,1
14.1.33,14.1.32,1
14.2.34,14.2.33,1
14.3.35,14.3.34,1
14.4.36,14.4.35,1
14.5.37,14.5.36,1
14.6.38,14.6.37,1
15.1.39,15.1.38,1
16.1.40,16.1.39,1
16.2.41,16.2.40,1
16.3.42,16.3.41,1
16.4.43,16.4.42,1
16.5.44,16.5.43,1
16.6.45,16.6.44,1
17.1.46,17.1.45,1
18.1.47,18.1.46,1
19.1.48,19.1.47,1
19.2.49,19.2.48,1
19.3.50,19.3.49,1
19.4.51,19.4.50,1
19.5.52,19.5.51,1
19.6.53,19.6.52,1
19.7.54,19.7.53,1
20.1.55,20.1.54,1
20.2.56,20.2.55,1
20.3.57,20.3.56,1
20.4.58,20.4.57,1
20.5.59,20.5.58,1
20.6.60,20.6.59,1
20.7.61,20.7.60,1
21.1.62,21.1.61,1
21.2.63,21.2.62,1
21.3.64,21.3.63,1
