1.1.1,_,0
2.1.2,1.1.1,1
3.1.3,2.1.2,1
4.1.4,3.1.3,1
5.1.5,4.1.4,1
6.1.6,5.1.5,1
7.1.7,6.1.6,1
7.2.8,6.2.7,1
7.3.9,6.3.8,1
7.4.10,6.4.9,1
8.1.11,7.1.10,1
9.1.12,8.1.11,1
9.2.13,8.2.12,1
9.3.14,8.3.13,1
9.4.15,8.4.14,1
9.5.16,8.5.15,1
9.6.17,8.6.16,1
9.7.18,8.7.17,1
9.8.19,8.8.18,1
9.9.20,8.9.19,1
9.10.21,8.10.20,1
9.11.22,8.11.21,1
9.12.23,8.12.22,1
9.13.24,8.13.23,1
9.14.25,8.14.24,1
9.15.26,8.15.25,1
10.1.27,9.1.26,1
11.1.28,10.1.27,1
11.2.29,10.2.28,1
11.3.30,10.3.29,1
11.4.31,10.4.30,1
11.5.32,10.5.31,1
12.1.33,11.1.32,1
13.1.34,12.1.33,1
14.1.35,13.1.34,1
14.2.36,13.2.35,1
14.3.37,13.3.36,1
15.1.38,14.1.37,1
16.1.39,15.1.38,1
17.1.40,16.1.39,1
17.2.41,16.2.40,1
17.3.42,16.3.41,1
17.4.43,16.4.42,1
17.5.44,16.5.43,1
17.6.45,16.6.44,1
17.7.46,16.7.45,1
18.1.47,17.1.46,1
19.1.48,18.1.47,1
19.2.49,18.2.48,1
19.3.50,18.3.49,1
19.4.51,18.4.50,1
19.5.52,18.5.51,1
19.6.53,18.6.52,1
19.7.54,18.7.53,1
20.1.55,19.1.54,1
21.1.56,20.1.55,1
21.2.57,20.2.56,1
21.3.58,20.3.57,1
21.4.59,20.4.58,1
21.5.60,20.5.59,1
21.6.61,20.6.60,1
21.7.62,20.7.61,1
22.1.63,21.1.62,1
23.1.64,22.1.63,1
24.1.65,23.1.64,1
25.1.66,24.1.65,1
26.1.67,25.1.66,1
27.1.68,26.1.67,1
27.2.69,26.2.68,1
27.3.70,26.3.69,1
28.1.71,27.1.70,1
28.2.72,27.2.71,1
28.3.73,27.3.72,1
28.4.74,27.4.73,1
28.5.75,27.5.74,1
28.6.76,27.6.75,1
29.1.77,28.1.76,1
30.1.78,29.1.77,1
31.1.79,30.1.78,1
31.2.80,30.2.79,1
31.3.81,30.3.80,1
31.4.82,30.4.81,1
31.5.83,30.5.82,1
31.6.84,30.6.83,1
31.7.85,30.7.84,1
31.8.86,30.8.85,1
32.1.87,31.1.86,1
