1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
5.2.6,5.2.6,1
5.3.7,5.3.7,1
6.1.8,6.1.8,1
7.1.9,7.1.9,1
8.1.10,8.1.10,1
9.1.11,9.1.11,1
10.1.12,10.1.12,1
11.1.13,11.1.13,1
11.2.14,11.2.14,1
12.1.15,12.1.15,1
13.1.16,13.1.16,1
13.2.17,13.2.17,1
13.3.18,13.3.18,1
14.1.19,14.1.19,1
15.1.20,15.1.20,1
15.2.21,15.2.21,1
15.3.22,15.3.22,1
16.1.23,16.1.23,1
17.1.24,17.1.24,1
18.1.25,18.1.25,1
19.1.26,19.1.26,1
20.1.27,20.1.27,1
21.1.28,21.1.28,1
22.1.29,22.1.29,1
23.1.30,23.1.30,1
23.2.31,23.2.31,1
23.3.32,23.3.32,1
24.1.33,24.1.33,1
25.1.34,25.1.34,1
26.1.35,26.1.35,1
27.1.36,27.1.36,1
27.2.37,27.2.37,1
27.3.38,27.3.38,1
28.1.39,28.1.39,1
29.1.40,29.1.40,1
30.1.41,30.1.41,0.99220777
31.1.42,31.1.42,1
32.1.43,32.1.43,1
32.2.44,32.2.44,1
32.3.45,32.3.45,1
32.4.46,32.4.46,1
32.5.47,32.5.47,1
33.1.48,33.1.48,1
34.1.49,34.1.49,1
34.2.50,34.2.50,1
34.3.51,34.3.51,1
34.4.52,34.4.52,1
34.5.53,34.5.53,1
34.6.54,34.6.54,1
34.7.55,34.7.55,1
34.8.56,34.8.56,1
35.1.57,35.1.57,1
36.1.58,36.1.58,1
36.2.59,36.2.59,1
36.3.60,36.3.60,1
36.4.61,36.4.61,1
36.5.62,36.5.62,1
36.6.63,36.6.63,1
36.7.64,36.7.64,1
36.8.65,36.8.65,1
37.1.66,37.1.66,1
38.1.67,38.1.67,1
39.1.68,39.1.68,1
39.2.69,39.2.69,1
39.3.70,39.3.70,1
40.1.71,40.1.71,1
41.1.72,41.1.72,1
41.2.73,41.2.73,1
41.3.74,41.3.74,1
41.4.75,41.4.75,1
41.5.76,41.5.76,1
41.6.77,41.6.77,1
41.7.78,41.7.78,1
42.1.79,42.1.79,1
43.1.80,43.1.80,1
43.2.81,43.2.81,1
43.3.82,43.3.82,1
43.4.83,43.4.83,1
43.5.84,43.5.84,1
43.6.85,43.6.85,1
43.7.86,43.7.86,1
43.8.87,43.8.87,1
43.9.88,43.9.88,1
44.1.89,44.1.89,1
45.1.90,45.1.90,1
45.2.91,45.2.91,1
45.3.92,45.3.92,1
45.4.93,45.4.93,1
45.5.94,45.5.94,1
45.6.95,45.6.95,1
45.7.96,45.7.96,1
45.8.97,45.8.97,1
46.1.98,46.1.98,1
47.1.99,47.1.99,1
47.2.100,47.2.100,1
47.3.101,47.3.101,1
48.1.102,48.1.102,1
49.1.103,49.1.103,1
