1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,_,0
3.2.4,_,0
3.3.5,_,0
3.4.6,_,0
3.5.7,_,0
4.1.8,_,0
5.1.9,3.1.3,1
6.1.10,4.1.4,1
6.2.11,4.2.5,1
6.3.12,4.3.6,1
6.4.13,4.4.7,1
6.5.14,4.5.8,1
7.1.15,5.1.9,1
7.2.16,5.2.10,1
7.3.17,5.3.11,1
8.1.18,6.1.12,1
9.1.19,7.1.13,1
9.2.20,7.2.14,1
9.3.21,7.3.15,1
9.4.22,7.4.16,1
9.5.23,7.5.17,1
10.1.24,8.1.18,1
10.2.25,8.2.19,1
10.3.26,8.3.20,1
10.4.27,8.4.21,1
10.5.28,8.5.22,1
11.1.29,9.1.23,1
12.1.30,10.1.24,1
13.1.31,11.1.25,1
13.2.32,11.2.26,1
14.1.33,12.1.27,1
15.1.34,13.1.28,1
16.1.35,14.1.29,1
17.1.36,15.1.30,1
18.1.37,16.1.31,1
18.2.38,16.2.32,1
18.3.39,16.3.33,1
18.4.40,16.4.34,1
19.1.41,17.1.35,1
20.1.42,18.1.36,1
20.2.43,18.2.37,1
21.1.44,19.1.38,1
22.1.45,20.1.39,1
22.2.46,20.2.40,1
23.1.47,21.1.41,1
23.2.48,21.2.42,1
23.3.49,21.3.43,1
23.4.50,21.4.44,1
24.1.51,22.1.45,1
25.1.52,23.1.46,1
26.1.53,24.1.47,1
27.1.54,25.1.48,1
27.2.55,25.2.49,1
27.3.56,25.3.50,1
27.4.57,25.4.51,1
27.5.58,25.5.52,1
27.6.59,25.6.53,1
27.7.60,25.7.54,1
27.8.61,25.8.55,1
27.9.62,25.9.56,1
28.1.63,26.1.57,1
29.1.64,27.1.58,1
29.2.65,27.2.59,1
29.3.66,27.3.60,1
29.4.67,27.4.61,1
29.5.68,27.5.62,1
30.1.69,28.1.63,1
31.1.70,29.1.64,1
32.1.71,30.1.65,1
32.2.72,30.2.66,1
32.3.73,30.3.67,1
33.1.74,31.1.68,1
34.1.75,32.1.69,1
35.1.76,33.1.70,1
36.1.77,34.1.71,1
37.1.78,35.1.72,1
38.1.79,36.1.73,1
38.2.80,36.2.74,1
38.3.81,36.3.75,1
38.4.82,36.4.76,1
38.5.83,36.5.77,1
38.6.84,36.6.78,1
38.7.85,36.7.79,1
38.8.86,36.8.80,1
38.9.87,36.9.81,1
39.1.88,37.1.82,1
40.1.89,38.1.83,1
40.2.90,38.2.84,1
41.1.91,39.1.85,1
42.1.92,40.1.86,1
43.1.93,41.1.87,1
44.1.94,42.1.88,1
44.2.95,42.2.89,1
44.3.96,42.3.90,1
45.1.97,43.1.91,1
45.2.98,43.2.92,1
45.3.99,43.3.93,1
45.4.100,43.4.94,1
45.5.101,43.5.95,1
45.6.102,43.6.96,1
45.7.103,43.7.97,1
45.8.104,43.8.98,1
45.9.105,43.9.99,1
46.1.106,44.1.100,1
47.1.107,45.1.101,1
48.1.108,46.1.102,1
48.2.109,46.2.103,1
48.3.110,46.3.104,1
49.1.111,47.1.105,1
50.1.112,48.1.106,1
51.1.113,49.1.107,1
51.2.114,49.2.108,1
51.3.115,49.3.109,1
51.4.116,49.4.110,1
51.5.117,49.5.111,1
51.6.118,49.6.112,1
51.7.119,49.7.113,1
51.8.120,49.8.114,1
52.1.121,50.1.115,1
53.1.122,51.1.116,1
53.2.123,51.2.117,1
53.3.124,51.3.118,1
53.4.125,51.4.119,1
53.5.126,51.5.120,1
53.6.127,51.6.121,1
53.7.128,51.7.122,1
53.8.129,51.8.123,1
53.9.130,51.9.124,1
53.10.131,51.10.125,1
53.11.132,51.11.126,1
54.1.133,52.1.127,1
55.1.134,53.1.128,1
56.1.135,54.1.129,1
56.2.136,54.2.130,1
56.3.137,54.3.131,1
56.4.138,54.4.132,1
56.5.139,54.5.133,1
56.6.140,54.6.134,1
57.1.141,55.1.135,1
57.2.142,55.2.136,1
57.3.143,55.3.137,1
57.4.144,55.4.138,1
57.5.145,55.5.139,1
57.6.146,55.6.140,1
58.1.147,56.1.141,1
58.2.148,56.2.142,1
58.3.149,56.3.143,1
58.4.150,56.4.144,1
59.1.151,57.1.145,1
59.2.152,57.2.146,1
59.3.153,57.3.147,1
59.4.154,57.4.148,1
59.5.155,57.5.149,1
59.6.156,57.6.150,1
60.1.157,58.1.151,1
61.1.158,59.1.152,1
