1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,0.9738096
4.1.4,4.1.4,1
5.1.5,5.1.5,1
6.1.6,6.1.6,1
6.2.7,6.2.7,1
6.3.8,6.3.8,1
7.1.9,7.1.9,1
7.2.10,7.2.10,1
7.3.11,7.3.11,1
8.1.12,8.1.12,1
8.2.13,8.2.13,1
9.1.14,9.1.14,0.9057143
9.2.15,9.2.15,1
9.3.16,9.3.16,1
10.1.17,10.1.17,1
10.2.18,10.2.18,1
11.1.19,11.1.19,1
12.1.20,12.1.20,1
13.1.21,13.1.21,1
13.2.22,13.2.22,1
13.3.23,13.3.23,1
14.1.24,14.1.24,1
15.1.25,15.1.25,1
15.2.26,15.2.26,1
15.3.27,15.3.27,1
16.1.28,16.1.28,1
17.1.29,17.1.29,1
18.1.30,18.1.30,1
19.1.31,19.1.31,1
19.2.32,19.2.32,1
19.3.33,19.3.33,1
20.1.34,20.1.34,0.9774792
21.1.35,21.1.35,1
22.1.36,22.1.36,0.9593851
23.1.37,23.1.37,1
23.2.38,23.2.38,1
23.3.39,23.3.39,1
23.4.40,23.4.40,1
23.5.41,23.5.41,1
23.6.42,23.6.42,1
23.7.43,23.7.43,1
24.1.44,24.1.44,1
25.1.45,25.1.45,1
26.1.46,26.1.46,1
27.1.47,27.1.47,1
28.1.48,28.1.48,1
28.2.49,28.2.49,1
29.1.50,29.1.50,1
30.1.51,30.1.51,1
30.2.52,30.2.52,1
31.1.53,31.1.53,1
32.1.54,32.1.54,1
32.2.55,32.2.55,1
33.1.56,33.1.56,1
