_,4.1.8,0
_,6.1.12,0
1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
3.2.4,3.2.4,1
3.3.5,3.3.5,1
3.4.6,3.4.6,1
3.5.7,3.5.7,1
4.1.8,_,0
4.2.9,4.2.9,0.8836796
4.3.10,4.3.10,1
5.1.11,5.1.11,1
6.1.12,_,0
6.2.13,6.4.15,1
6.3.14,_,0
6.4.15,_,0
6.5.16,_,0
6.6.17,_,0
6.7.18,_,0
6.8.19,6.2.13,0.8994709
6.9.20,6.3.14,0.9475829
6.10.21,_,0
6.11.22,6.5.16,0.9197922
7.1.23,7.1.17,1
8.1.24,8.1.18,1
9.1.25,9.1.19,1
9.2.26,9.2.20,1
10.1.27,10.1.21,1
11.1.28,11.1.22,1
12.1.29,12.1.23,1
13.1.30,13.1.24,1
14.1.31,14.1.25,1
14.2.32,14.2.26,1
15.1.33,15.1.27,1
16.1.34,16.1.28,1
16.2.35,16.2.29,1
16.3.36,16.3.30,1
16.4.37,16.4.31,1
16.5.38,16.5.32,1
16.6.39,16.6.33,1
17.1.40,17.1.34,1
18.1.41,18.1.35,1
18.2.42,18.2.36,1
18.3.43,18.3.37,1
18.4.44,18.4.38,1
18.5.45,18.5.39,1
18.6.46,18.6.40,1
19.1.47,19.1.41,1
20.1.48,20.1.42,1
20.2.49,20.2.43,1
20.3.50,20.3.44,1
20.4.51,20.4.45,1
20.5.52,20.5.46,1
20.6.53,20.6.47,1
20.7.54,20.7.48,1
21.1.55,21.1.49,1
22.1.56,22.1.50,1
22.2.57,22.2.51,1
22.3.58,22.3.52,1
22.4.59,22.4.53,1
22.5.60,22.5.54,1
22.6.61,22.6.55,1
22.7.62,22.7.56,1
23.1.63,23.1.57,1
24.1.64,24.1.58,1
25.1.65,25.1.59,1
25.2.66,25.2.60,1
25.3.67,25.3.61,1
26.1.68,26.1.62,1
26.2.69,26.2.63,1
26.3.70,26.3.64,1
27.1.71,27.1.65,1
28.1.72,28.1.66,1
28.2.73,28.2.67,1
28.3.74,28.3.68,1
28.4.75,28.4.69,1
29.1.76,29.1.70,1
30.1.77,30.1.71,1
30.2.78,30.2.72,1
30.3.79,30.3.73,1
30.4.80,30.4.74,1
30.5.81,30.5.75,1
30.6.82,30.6.76,1
30.7.83,30.7.77,1
31.1.84,31.1.78,1
31.2.85,31.2.79,1
31.3.86,31.3.80,1
32.1.87,32.1.81,1
33.1.88,33.1.82,1
33.2.89,33.2.83,1
33.3.90,33.3.84,1
34.1.91,34.1.85,1
34.2.92,34.2.86,1
34.3.93,34.3.87,1
34.4.94,34.4.88,1
34.5.95,34.5.89,1
34.6.96,34.6.90,1
34.7.97,34.7.91,1
34.8.98,34.8.92,1
34.9.99,34.9.93,1
35.1.100,35.1.94,1
35.2.101,35.2.95,1
35.3.102,35.3.96,1
35.4.103,35.4.97,1
35.5.104,35.5.98,1
36.1.105,36.1.99,1
36.2.106,36.2.100,1
37.1.107,37.1.101,1
37.2.108,37.2.102,1
37.3.109,37.3.103,1
38.1.110,38.1.104,1
39.1.111,39.1.105,1
40.1.112,40.1.106,1
40.2.113,40.2.107,1
40.3.114,40.3.108,1
41.1.115,41.1.109,1
42.1.116,42.1.110,1
42.2.117,42.2.111,1
43.1.118,43.1.112,1
44.1.119,44.1.113,1
45.1.120,45.1.114,1
46.1.121,46.1.115,1
47.1.122,47.1.116,1
48.1.123,48.1.117,1
