1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
6.1.6,6.1.6,1
7.1.7,7.1.7,1
8.1.8,8.1.8,1
9.1.9,9.1.9,1
9.2.10,9.2.10,1
10.1.11,10.1.11,1
10.2.12,10.2.12,1
10.3.13,10.3.13,1
11.1.14,11.1.14,1
12.1.15,12.1.15,1
12.2.16,12.2.16,1
12.3.17,12.3.17,1
12.4.18,12.4.18,1
13.1.19,13.1.19,1
14.1.20,14.1.20,1
14.2.21,14.2.21,1
14.3.22,14.3.22,1
14.4.23,14.4.23,1
14.5.24,14.5.24,1
14.6.25,14.6.25,1
15.1.26,15.1.26,1
16.1.27,16.1.27,1
16.2.28,16.2.28,1
16.3.29,16.3.29,1
17.1.30,17.1.30,1
17.2.31,17.2.31,1
17.3.32,17.3.32,1
18.1.33,18.1.33,1
19.1.34,19.1.34,1
19.2.35,19.2.35,1
20.1.36,20.1.36,1
20.2.37,20.2.37,1
21.1.38,21.1.38,1
21.2.39,21.2.39,1
21.3.40,21.3.40,1
22.1.41,22.1.41,1
23.1.42,23.1.42,1
24.1.43,24.1.43,1
24.2.44,24.2.44,1
25.1.45,25.1.45,1
25.2.46,25.2.46,1
25.3.47,25.3.47,1
26.1.48,26.1.48,1
26.2.49,26.2.49,1
26.3.50,26.3.50,1
27.1.51,27.1.51,1
28.1.52,28.1.52,1
29.1.53,29.1.53,1
30.1.54,30.1.54,1
31.1.55,31.1.55,1
32.1.56,32.1.56,1
33.1.57,33.1.57,1
34.1.58,34.1.58,1
35.1.59,35.1.59,1
36.1.60,36.1.60,1
37.1.61,37.1.61,1
38.1.62,38.1.62,1
39.1.63,39.1.63,1
40.1.64,40.1.64,1
40.2.65,40.2.65,1
40.3.66,40.3.66,1
41.1.67,41.1.67,1
42.1.68,42.1.68,1
42.2.69,42.2.69,1
42.3.70,42.3.70,1
43.1.71,43.1.71,1
44.1.72,44.1.72,1
44.2.73,44.2.73,1
45.1.74,45.1.74,1
46.1.75,46.1.75,1
47.1.76,47.1.76,1
48.1.77,48.1.77,1
49.1.78,49.1.78,1
50.1.79,50.1.79,1
50.2.80,50.2.80,1
51.1.81,51.1.81,1
51.2.82,51.2.82,1
52.1.83,52.1.83,1
53.1.84,53.1.84,1
54.1.85,54.1.85,1
55.1.86,55.1.86,1
55.2.87,55.2.87,1
55.3.88,55.3.88,1
56.1.89,56.1.89,1
57.1.90,57.1.90,1
58.1.91,58.1.91,1
59.1.92,59.1.92,1
59.2.93,59.2.93,1
59.3.94,59.3.94,1
59.4.95,59.4.95,1
59.5.96,59.5.96,1
59.6.97,59.6.97,1
59.7.98,59.7.98,1
59.8.99,59.8.99,1
59.9.100,59.9.100,1
60.1.101,60.1.101,1
61.1.102,61.1.102,1
