1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
6.1.6,6.1.6,1
7.1.7,7.1.7,1
8.1.8,8.1.8,1
9.1.9,9.1.9,1
10.1.10,10.1.10,1
11.1.11,11.1.11,1
11.2.12,11.2.12,1
11.3.13,11.3.13,1
11.4.14,11.4.14,1
11.5.15,11.5.15,1
11.6.16,11.6.16,1
11.7.17,11.7.17,1
11.8.18,11.8.18,1
12.1.19,12.1.19,1
13.1.20,13.1.20,1
14.1.21,14.1.21,1
14.2.22,14.2.22,1
14.3.23,14.3.23,1
15.1.24,15.1.24,1
15.2.25,15.2.25,1
16.1.26,16.1.26,1
16.2.27,16.2.27,1
16.3.28,16.3.28,1
17.1.29,17.1.29,1
18.1.30,18.1.30,1
19.1.31,19.1.31,1
20.1.32,20.1.32,1
21.1.33,21.1.33,1
22.1.34,22.1.34,1
23.1.35,23.1.35,1
23.2.36,23.2.36,1
23.3.37,23.3.37,1
24.1.38,24.1.38,1
24.2.39,24.2.39,1
24.3.40,24.3.40,1
25.1.41,25.1.41,1
26.1.42,26.1.42,1
27.1.43,27.1.43,1
27.2.44,27.2.44,1
27.3.45,27.3.45,1
28.1.46,28.1.46,1
29.1.47,29.1.47,1
30.1.48,30.1.48,1
31.1.49,31.1.49,1
32.1.50,32.1.50,1
33.1.51,33.1.51,1
34.1.52,34.1.52,1
35.1.53,35.1.53,1
35.2.54,35.2.54,1
36.1.55,36.1.55,1
37.1.56,37.1.56,1
38.1.57,38.1.57,1
38.2.58,38.2.58,1
39.1.59,39.1.59,1
40.1.60,40.1.60,1
41.1.61,41.1.61,1
41.2.62,41.2.62,1
41.3.63,41.3.63,1
41.4.64,41.4.64,1
41.5.65,41.5.65,1
41.6.66,41.6.66,1
42.1.67,42.1.67,1
42.2.68,42.2.68,1
42.3.69,42.3.69,1
42.4.70,42.4.70,1
42.5.71,42.5.71,1
42.6.72,42.6.72,1
43.1.73,43.1.73,1
44.1.74,44.1.74,1
44.2.75,44.2.75,1
