_,1.1.1,0
1.1.1,_,0
1.2.2,_,0
1.3.3,_,0
1.4.4,_,0
1.5.5,_,0
2.1.6,2.1.2,1
3.1.7,3.1.3,1
4.1.8,4.1.4,1
4.2.9,4.2.5,1
5.1.10,5.1.6,1
5.2.11,5.2.7,1
5.3.12,5.3.8,1
5.4.13,5.4.9,1
5.5.14,5.5.10,1
5.6.15,5.6.11,1
6.1.16,6.1.12,1
6.2.17,6.2.13,1
7.1.18,7.1.14,1
7.2.19,7.2.15,1
7.3.20,7.3.16,1
8.1.21,8.1.17,1
8.2.22,8.2.18,1
9.1.23,9.1.19,1
10.1.24,10.1.20,1
10.2.25,10.2.21,1
11.1.26,11.1.22,1
11.2.27,11.2.23,1
11.3.28,11.3.24,1
11.4.29,11.4.25,1
11.5.30,11.5.26,1
11.6.31,11.6.27,1
11.7.32,11.7.28,1
12.1.33,12.1.29,1
12.2.34,12.2.30,1
12.3.35,12.3.31,1
12.4.36,12.4.32,1
12.5.37,12.5.33,1
13.1.38,13.1.34,1
13.2.39,13.2.35,1
13.3.40,13.3.36,1
14.1.41,14.1.37,1
15.1.42,15.1.38,1
16.1.43,16.1.39,1
16.2.44,16.2.40,1
17.1.45,17.1.41,1
17.2.46,17.2.42,1
17.3.47,17.3.43,1
18.1.48,18.1.44,1
18.2.49,18.2.45,1
18.3.50,18.3.46,1
18.4.51,18.4.47,1
18.5.52,18.5.48,1
18.6.53,18.6.49,1
18.7.54,18.7.50,1
18.8.55,18.8.51,1
18.9.56,18.9.52,1
18.10.57,18.10.53,1
19.1.58,19.1.54,1
19.2.59,19.2.55,1
19.3.60,19.3.56,1
19.4.61,19.4.57,1
19.5.62,19.5.58,1
20.1.63,20.1.59,1
20.2.64,20.2.60,1
20.3.65,20.3.61,1
21.1.66,21.1.62,1
22.1.67,22.1.63,1
23.1.68,23.1.64,1
23.2.69,23.2.65,1
24.1.70,24.1.66,1
25.1.71,25.1.67,1
26.1.72,26.1.68,1
26.2.73,26.2.69,1
26.3.74,26.3.70,1
26.4.75,26.4.71,1
26.5.76,26.5.72,1
26.6.77,26.6.73,1
26.7.78,26.7.74,1
26.8.79,26.8.75,1
26.9.80,26.9.76,1
27.1.81,27.1.77,1
27.2.82,27.2.78,1
27.3.83,27.3.79,1
27.4.84,27.4.80,1
27.5.85,27.5.81,1
28.1.86,28.1.82,1
29.1.87,29.1.83,1
29.2.88,29.2.84,1
29.3.89,29.3.85,1
30.1.90,30.1.86,1
