_,9.1.23,0
1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
2.2.7,2.2.7,1
3.1.8,3.1.8,1
4.1.9,4.1.9,1
5.1.10,5.1.10,1
5.2.11,5.2.11,1
5.3.12,5.3.12,1
5.4.13,5.4.13,1
5.5.14,5.5.14,1
6.1.15,6.1.15,1
8.1.16,7.1.16,1
9.1.17,8.1.17,1
9.2.18,8.2.18,1
9.3.19,8.3.19,1
9.4.20,8.4.20,1
9.5.21,8.5.21,1
9.6.22,8.6.22,1
10.1.23,_,0
11.1.24,_,0
11.2.25,11.1.25,0.45905912
11.3.26,_,0
11.4.27,_,0
12.1.28,_,0
12.2.29,_,0
12.3.30,_,0
12.4.31,_,0
12.5.32,_,0
12.6.33,_,0
12.7.34,_,0
12.8.35,_,0
13.1.36,10.1.24,1
14.1.37,_,0
14.2.38,_,0
14.3.39,_,0
14.4.40,11.1.25,0.5040636
14.5.41,_,0
14.6.42,_,0
15.1.43,_,0
15.2.44,_,0
15.3.45,_,0
15.4.46,_,0
15.5.47,_,0
16.1.48,_,0
17.1.49,_,0
18.1.50,_,0
19.1.51,_,0
19.2.52,_,0
19.3.53,_,0
19.4.54,_,0
19.5.55,_,0
19.6.56,_,0
19.7.57,_,0
20.1.58,_,0
20.2.59,_,0
20.3.60,_,0
21.1.61,_,0
22.1.62,_,0
22.2.63,_,0
22.3.64,_,0
22.4.65,_,0
22.5.66,_,0
23.1.67,_,0
24.1.68,_,0
25.1.69,_,0
25.2.70,_,0
25.3.71,_,0
25.4.72,_,0
26.1.73,_,0
26.2.74,_,0
27.1.75,_,0
28.1.76,_,0
29.1.77,_,0
30.1.78,_,0
30.2.79,_,0
30.3.80,_,0
30.4.81,_,0
30.5.82,_,0
30.6.83,_,0
30.7.84,_,0
30.8.85,_,0
30.9.86,_,0
30.10.87,_,0
30.11.88,_,0
30.12.89,_,0
31.1.90,_,0
31.2.91,_,0
31.3.92,_,0
31.4.93,_,0
31.5.94,_,0
31.6.95,_,0
32.1.96,_,0
32.2.97,_,0
32.3.98,_,0
33.1.99,_,0
33.2.100,_,0
33.3.101,_,0
33.4.102,_,0
33.5.103,_,0
33.6.104,_,0
34.1.105,_,0
34.2.106,_,0
34.3.107,_,0
35.1.108,_,0
36.1.109,_,0
36.2.110,_,0
36.3.111,_,0
36.4.112,_,0
36.5.113,_,0
36.6.114,_,0
37.1.115,_,0
37.2.116,_,0
38.1.117,_,0
38.2.118,_,0
38.3.119,_,0
38.4.120,_,0
38.5.121,_,0
38.6.122,_,0
39.1.123,_,0
39.2.124,_,0
39.3.125,_,0
39.4.126,_,0
40.1.127,_,0
40.2.128,_,0
40.3.129,_,0
41.1.130,_,0
42.1.131,_,0
42.2.132,_,0
42.3.133,_,0
42.4.134,_,0
42.5.135,_,0
42.6.136,_,0
43.1.137,_,0
43.2.138,_,0
43.3.139,_,0
43.4.140,_,0
43.5.141,_,0
44.1.142,_,0
44.2.143,_,0
44.3.144,_,0
45.1.145,_,0
45.2.146,_,0
46.1.147,_,0
46.2.148,_,0
47.1.149,_,0
47.2.150,_,0
47.3.151,_,0
48.1.152,_,0
49.1.153,_,0
49.2.154,_,0
49.3.155,_,0
49.4.156,_,0
49.5.157,_,0
49.6.158,_,0
49.7.159,_,0
49.8.160,_,0
50.1.161,_,0
50.2.162,_,0
51.1.163,_,0
51.2.164,_,0
51.3.165,_,0
52.1.166,_,0
53.1.167,_,0
54.1.168,_,0
54.2.169,_,0
54.3.170,_,0
55.1.171,_,0
55.2.172,_,0
