1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,1
5.1.9,5.1.9,0.97715914
5.2.10,5.2.10,1
5.3.11,5.3.11,0.9801701
5.4.12,5.4.12,1
5.5.13,5.5.13,0.9800801
5.6.14,5.6.14,1
5.7.15,5.7.15,1
5.8.16,5.8.16,1
6.1.17,6.1.17,1
7.1.18,7.1.18,1
8.1.19,8.1.19,1
9.1.20,9.1.20,0.9914286
10.1.21,10.1.21,1
10.2.22,10.2.22,1
10.3.23,10.3.23,1
10.4.24,10.4.24,1
10.5.25,10.5.25,1
10.6.26,10.6.26,1
11.1.27,11.1.27,1
12.1.28,12.1.28,0.98255944
12.2.29,12.2.29,1
12.3.30,12.3.30,1
13.1.31,13.1.31,0.9766892
14.1.32,14.1.32,1
14.2.33,14.2.33,1
15.1.34,15.1.34,1
16.1.35,16.1.35,1
17.1.36,17.1.36,1
18.1.37,18.1.37,0.99464285
19.1.38,19.1.38,1
19.2.39,19.2.39,1
19.3.40,19.3.40,1
19.4.41,19.4.41,1
19.5.42,19.5.42,1
19.6.43,19.6.43,1
19.7.44,19.7.44,1
19.8.45,19.8.45,1
19.9.46,19.9.46,1
19.10.47,19.10.47,1
19.11.48,19.11.48,1
20.1.49,20.1.49,1
20.2.50,20.2.50,1
20.3.51,20.3.51,1
20.4.52,20.4.52,1
20.5.53,20.5.53,1
20.6.54,20.6.54,1
20.7.55,20.7.55,0.97480524
21.1.56,21.1.56,1
22.1.57,22.1.57,0.9838462
22.2.58,22.2.58,0.98172927
22.3.59,22.3.59,1
22.4.60,22.4.60,1
