1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
6.1.6,6.1.6,1
6.2.7,6.2.7,1
7.1.8,7.1.8,1
8.1.9,8.1.9,1
8.2.10,8.2.10,1
8.3.11,8.3.11,1
9.1.12,9.1.12,1
10.1.13,10.1.13,1
11.1.14,11.1.14,1
11.2.15,11.2.15,1
11.3.16,11.3.16,1
11.4.17,11.4.17,1
11.5.18,11.5.18,1
12.1.19,12.1.19,1
13.1.20,13.1.20,1
14.1.21,14.1.21,1
15.1.22,15.1.22,1
16.1.23,16.1.23,1
17.1.24,17.1.24,1
17.2.25,17.2.25,1
17.3.26,17.3.26,1
17.4.27,17.4.27,1
17.5.28,17.5.28,1
18.1.29,18.1.29,1
19.1.30,19.1.30,1
19.2.31,19.2.31,1
19.3.32,19.3.32,1
19.4.33,19.4.33,1
19.5.34,19.5.34,1
20.1.35,20.1.35,1
21.1.36,21.1.36,1
21.2.37,21.2.37,1
21.3.38,21.3.38,1
21.4.39,21.4.39,1
21.5.40,21.5.40,1
21.6.41,21.6.41,1
22.1.42,22.1.42,1
23.1.43,23.1.43,1
24.1.44,24.1.44,1
25.1.45,25.1.45,1
25.2.46,25.2.46,1
26.1.47,26.1.47,1
