1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
2.2.7,2.2.7,1
2.3.8,2.3.8,1
2.4.9,2.4.9,1
2.5.10,2.5.10,1
2.6.11,2.6.11,1
3.1.12,4.1.13,0.9073247
4.1.13,3.1.12,1
5.1.14,_,0
5.2.15,_,0
5.3.16,_,0
6.1.17,_,0
6.2.18,_,0
6.3.19,_,0
6.4.20,_,0
6.5.21,_,0
6.6.22,_,0
6.7.23,_,0
6.8.24,_,0
6.9.25,_,0
6.10.26,_,0
6.11.27,_,0
6.12.28,_,0
6.13.29,_,0
6.14.30,_,0
6.15.31,_,0
7.1.32,_,0
8.1.33,_,0
9.1.34,_,0
9.2.35,_,0
9.3.36,_,0
9.4.37,_,0
9.5.38,_,0
10.1.39,_,0
10.2.40,_,0
10.3.41,_,0
10.4.42,_,0
10.5.43,_,0
10.6.44,_,0
10.7.45,_,0
10.8.46,_,0
10.9.47,_,0
10.10.48,_,0
10.11.49,_,0
10.12.50,_,0
10.13.51,_,0
10.14.52,_,0
10.15.53,_,0
10.16.54,_,0
10.17.55,_,0
10.18.56,_,0
10.19.57,_,0
10.20.58,_,0
10.21.59,_,0
10.22.60,_,0
10.23.61,_,0
10.24.62,_,0
10.25.63,_,0
10.26.64,_,0
10.27.65,_,0
10.28.66,_,0
10.29.67,_,0
10.30.68,_,0
11.1.69,5.1.14,1
12.1.70,6.1.15,1
12.2.71,6.2.16,1
12.3.72,6.3.17,1
12.4.73,6.4.18,0.99375
