1.1.1,1.1.1,1
2.1.2,2.1.2,1
2.2.3,2.2.3,1
2.3.4,2.3.4,1
3.1.5,3.1.5,1
3.2.6,3.2.6,1
3.3.7,3.3.7,1
3.4.8,3.4.8,1
3.5.9,3.5.9,1
4.1.10,4.1.10,1
5.1.11,5.1.11,1
5.2.12,5.2.12,1
5.3.13,5.3.13,1
5.4.14,5.4.14,1
5.5.15,5.5.15,1
5.6.16,5.6.16,1
5.7.17,5.7.17,1
5.8.18,5.8.18,1
5.9.19,5.9.19,1
5.10.20,5.10.20,1
6.1.21,6.1.21,1
6.2.22,6.2.22,1
6.3.23,6.3.23,1
6.4.24,6.4.24,1
6.5.25,6.5.25,1
6.6.26,6.6.26,1
6.7.27,6.7.27,1
6.8.28,6.8.28,1
6.9.29,6.9.29,1
6.10.30,6.10.30,1
6.11.31,6.11.31,1
6.12.32,6.12.32,1
7.1.33,7.1.33,1
7.2.34,7.2.34,1
7.3.35,7.3.35,1
7.4.36,7.4.36,1
7.5.37,7.5.37,1
7.6.38,7.6.38,1
7.7.39,7.7.39,1
7.8.40,7.8.40,1
7.9.41,7.9.41,1
7.10.42,7.10.42,1
7.11.43,7.11.43,1
7.12.44,7.12.44,1
8.1.45,8.1.45,1
9.1.46,9.1.46,1
10.1.47,10.1.47,1
11.1.48,11.1.48,1
11.2.49,11.2.49,1
11.3.50,11.3.50,1
11.4.51,11.4.51,1
11.5.52,11.5.52,1
11.6.53,11.6.53,1
11.7.54,11.7.54,1
11.8.55,11.8.55,1
11.9.56,11.9.56,1
12.1.57,12.1.57,1
13.1.58,13.1.58,1
13.2.59,13.2.59,1
14.1.60,14.1.60,1
15.1.61,15.1.61,1
15.2.62,15.2.62,1
15.3.63,15.3.63,1
15.4.64,15.4.64,1
16.1.65,16.1.65,1
17.1.66,17.1.66,1
17.2.67,17.2.67,1
17.3.68,17.3.68,1
17.4.69,17.4.69,1
17.5.70,17.5.70,1
18.1.71,18.1.71,1
19.1.72,19.1.72,1
19.2.73,19.2.73,1
19.3.74,19.3.74,1
19.4.75,19.4.75,1
19.5.76,19.5.76,1
20.1.77,20.1.77,1
21.1.78,21.1.78,1
21.2.79,21.2.79,1
22.1.80,22.1.80,1
23.1.81,23.1.81,1
23.2.82,23.2.82,1
24.1.83,24.1.83,1
25.1.84,25.1.84,1
25.2.85,25.2.85,1
25.3.86,25.3.86,1
25.4.87,25.4.87,1
26.1.88,26.1.88,1
27.1.89,27.1.89,1
27.2.90,27.2.90,1
27.3.91,27.3.91,1
27.4.92,27.4.92,1
28.1.93,28.1.93,1
29.1.94,29.1.94,1
29.2.95,29.2.95,1
29.3.96,29.3.96,1
30.1.97,30.1.97,1
31.1.98,31.1.98,1
32.1.99,32.1.99,1
32.2.100,32.2.100,1
32.3.101,32.3.101,1
32.4.102,32.4.102,1
32.5.103,32.5.103,1
32.6.104,32.6.104,1
33.1.105,33.1.105,1
34.1.106,34.1.106,1
35.1.107,35.1.107,1
36.1.108,36.1.108,1
37.1.109,37.1.109,1
38.1.110,38.1.110,1
39.1.111,39.1.111,1
40.1.112,40.1.112,1
41.1.113,41.1.113,1
42.1.114,42.1.114,1
43.1.115,43.1.115,1
44.1.116,44.1.116,1
45.1.117,45.1.117,1
46.1.118,46.1.118,1
47.1.119,47.1.119,1
48.1.120,48.1.120,1
49.1.121,49.1.121,1
50.1.122,50.1.122,1
51.1.123,51.1.123,1
51.2.124,51.2.124,1
51.3.125,51.3.125,1
52.1.126,52.1.126,1
53.1.127,53.1.127,1
54.1.128,54.1.128,1
55.1.129,55.1.129,1
56.1.130,56.1.130,1
57.1.131,57.1.131,1
58.1.132,58.1.132,1
59.1.133,59.1.133,1
60.1.134,60.1.134,1
61.1.135,61.1.135,1
62.1.136,62.1.136,1
63.1.137,63.1.137,1
64.1.138,64.1.138,1
65.1.139,65.1.139,1
66.1.140,66.1.140,1
67.1.141,67.1.141,1
68.1.142,68.1.142,1
69.1.143,69.1.143,1
70.1.144,70.1.144,1
71.1.145,71.1.145,1
